,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
10,ID11n_estimators50_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_0.5,50,0.5,0.8979415087603746,1.0378755702872104,1.013405055492329,0.01441250309121285,0.2126225583219414,0.10433486373116038,-11064115.2,11.546018535201437,23070412.210726276,0.1477570334662064
11,ID12n_estimators50_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_1.0,50,1.0,0.8951472667485957,1.0501662482867071,1.0160025082000481,0.030190775776465305,0.2829865760713417,0.1338101327176609,-7291699.2,8.911700555379502,43598081.47309166,0.12955232904504332
12,ID13n_estimators50_window_size2.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_2.0,50,2.0,0.8852554451938884,1.1541169691293933,1.0720364872401444,0.020541957827734002,0.15449699955686544,0.06967595822954241,528384.0,7.632613328564912,5909148.596902535,0.1364181107983151
16,ID17n_estimators20_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=20_window_size_1.0,20,1.0,0.8833745158574482,1.1886067796424682,1.0832638565921884,0.02429342555716148,0.2837958417121222,0.1230698852014041,-5278924.8,8.571061545982957,72897081.24902646,0.160338914283078
15,ID16n_estimators20_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=20_window_size_0.5,20,0.5,0.8831874182152297,1.1932372102775335,1.0849502084451996,0.02037403850635306,0.272113742838342,0.12696556805784606,2573926.4,10.696740893367679,17935572.470410343,0.1505617498080855
5,ID6num_kernels500_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=500_max_alpha_20,500,20.0,0.8813608648113865,1.2068271624346394,1.093645642863995,0.01651567755489371,0.22028110350343336,0.10376112123160254,2114355.2,2.522789325611666,3947046.72159499,0.0567710241499549
4,ID5num_kernels500_max_alpha10,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=500_max_alpha_10,500,10.0,0.8785685729215051,1.2400016329663415,1.0987447086435504,0.033394642750391695,0.37694937077162294,0.18100192870282028,2122547.2,2.530515784211457,3971741.8158976245,0.09158003642453044
3,ID4num_kernels500_max_alpha5,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=500_max_alpha_5,500,5.0,0.8776652161217735,1.2413552493910254,1.109523034335302,0.020412492977654326,0.2127194951939238,0.1015573023982512,-675020.8,2.5791429398115726,1493863.2554681036,0.12380679084606525
5,ID6n_estimators150_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_0.5,150,0.5,0.8758522390557356,1.2544923499770504,1.1191843655025622,0.012414878318489184,0.09769346444223034,0.04380303632943449,13247283.2,13.949446277390233,28975437.213532142,0.10921839883421375
17,ID18n_estimators20_window_size2.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=20_window_size_2.0,20,2.0,0.8750448419294579,1.269436274505995,1.1219112156352122,0.019640922355498976,0.23633587707674364,0.10368943407076457,977305.6,7.5347900067688895,57416197.20113191,0.18720187985791428
15,ID16num_kernels2000_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_20,2000,20.0,0.8747874426736905,1.260493967634086,1.114171794959113,0.032286337738214446,0.29918136359179814,0.1382576542245468,-40140.8,16.030970197403803,336763.94347993965,0.11088086693285841
