,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.8328693240401972,1.9575050705938293,1.3991086700445499,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,17.88202495605219,106057728
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.8825893081870839,1.1107919556789962,1.0539411538027141,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,17.477142604999244,114298880
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.8958354958460096,1.1001455896805334,1.048878253030605,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,17.502114336006343,41836544
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.8135670514581068,1.7247837922439753,1.3133102421910732,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,17.486796108074486,-100044800
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.8624031470631117,1.3098883367969416,1.1445035328896724,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,17.55035963805858,34521088
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.8555680539257098,1.4882507533654026,1.2199388318130555,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,12.130868761101738,1216512
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.8585180835498558,1.3111657257889324,1.145061450660589,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,12.037547610001639,25071616
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.8195496559808627,1.9997699754937386,1.4141322340904823,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,12.027511792024598,-5349376
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.8862107911741186,1.21673468883424,1.1030569744279939,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,11.740574531955644,4358144
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.8505376189296516,1.3887040614908952,1.1784328837447193,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,12.140051343012601,-4497408
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.8339963875725929,1.5023975439394701,1.2257232738018276,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,9.295746854040772,25137152
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.9002744213278073,1.0408475261097483,1.020219351958072,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,9.079008436994627,2641920
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.856675952683156,1.6127373192618548,1.269935950850221,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,9.34448185400106,6782976
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.8137027751217509,1.9559594660721675,1.3985562076914062,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,9.278864398016594,7659520
14,ID3n_estimators300_window_size2.0,300,2.0,4,0.872806245958632,1.1851763361402885,1.0886580437126658,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_26_54/regression-ETERRY-Human1DistTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split4.pdf,9.087343402090482,16621568
