,param1,param2,r2_score_mean,r2_score_stddev
0,100,300,0.28347628500741884,0.033782352182884806
1,100,150,0.32506491277748156,0.06212455312938456
2,100,50,0.27453417233479777,0.054983200221497025
3,100,20,0.24943853653594275,0.03365238161959716
4,500,300,0.8476215069420967,0.014929669407494978
5,500,150,0.8567608874914588,0.027462784523813663
6,500,50,0.8621562837002144,0.023591299293079238
7,500,20,0.8608654563187935,0.040169086993656636
8,1000,300,0.8578583425152733,0.032966865924351475
9,1000,150,0.8700237681293157,0.04117178388260268
10,1000,50,0.8695380428622063,0.021582966817103047
11,1000,20,0.8730461490164545,0.03600361694874028
12,2000,300,0.851080247626282,0.04273982473881515
13,2000,150,0.8624735333105281,0.03053567699092147
14,2000,50,0.8698490504890524,0.031505846065531654
15,2000,20,0.8747874426736905,0.032286337738214446
