,param1,param2,r2_score_mean,r2_score_stddev
0,100,5,0.20088031737572692,0.03139495760141953
1,100,10,0.18440201381682106,0.02368452397182
2,100,20,0.19579383266988576,0.05185803534623698
3,500,5,0.8776652161217735,0.020412492977654326
4,500,10,0.8785685729215051,0.033394642750391695
5,500,20,0.8813608648113865,0.01651567755489371
6,1000,5,0.8669609184206554,0.022749097808382815
7,1000,10,0.867491277951254,0.02709612046679717
8,1000,20,0.8713913729641621,0.019698193949229705
9,2000,5,0.8459478195163104,0.03030575384520796
10,2000,10,0.8630080746955748,0.018309273135261525
11,2000,20,0.8694169990698329,0.013956342467299902
