,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
0,ID1num_kernels100_max_alpha5,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=100_max_alpha_5,100,5,0.20088031737572692,8.09959723771809,2.845480439533042,0.03139495760141953,0.3032562179638329,0.05327575389362347,4517068.8,2.0588359404355288,9198931.508498024,0.056270327121817794
1,ID2num_kernels100_max_alpha10,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=100_max_alpha_10,100,10,0.18440201381682106,8.268297386090756,2.8749176145099247,0.02368452397182,0.3209942304667478,0.056090069275427284,2084864.0,2.071086589200422,4036368.0724231284,0.1646467773265881
2,ID3num_kernels100_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=100_max_alpha_20,100,20,0.19579383266988576,8.146305941659206,2.853233987148058,0.05185803534623698,0.4194427238541215,0.07322401411013171,8389427.2,2.100483324378729,11848683.325288331,0.06801739927507555
3,ID4num_kernels500_max_alpha5,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=500_max_alpha_5,500,5,0.8776652161217735,1.2413552493910254,1.109523034335302,0.020412492977654326,0.2127194951939238,0.1015573023982512,-675020.8,2.5791429398115726,1493863.2554681036,0.12380679084606525
4,ID5num_kernels500_max_alpha10,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=500_max_alpha_10,500,10,0.8785685729215051,1.2400016329663415,1.0987447086435504,0.033394642750391695,0.37694937077162294,0.18100192870282028,2122547.2,2.530515784211457,3971741.8158976245,0.09158003642453044
5,ID6num_kernels500_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=500_max_alpha_20,500,20,0.8813608648113865,1.2068271624346394,1.093645642863995,0.01651567755489371,0.22028110350343336,0.10376112123160254,2114355.2,2.522789325611666,3947046.72159499,0.0567710241499549
6,ID7num_kernels1000_max_alpha5,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=1000_max_alpha_5,1000,5,0.8669609184206554,1.3265209893534367,1.1501896178720898,0.022749097808382815,0.13826140795610448,0.059873469021701035,5981798.4,3.4428353626281023,14542161.562033748,0.22772055730702903
7,ID8num_kernels1000_max_alpha10,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=1000_max_alpha_10,1000,10,0.867491277951254,1.321646682089375,1.1464983068367895,0.02709612046679717,0.19227271270669638,0.08478392836941194,1984921.6,3.3055502021918075,4692589.403041081,0.07897746538126314
8,ID9num_kernels1000_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=1000_max_alpha_20,1000,20,0.8713913729641621,1.29919111277733,1.1365358184239334,0.019698193949229705,0.1958471009666234,0.0864722280085906,2115174.4,3.4277202867902816,5463545.435302963,0.24365443538667256
9,ID10num_kernels2000_max_alpha5,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=2000_max_alpha_5,2000,5,0.8459478195163104,1.5717425125623172,1.2442581279089693,0.03030575384520796,0.3815063753149469,0.1535064288386135,47513.6,5.422192883188837,17966893.708177757,0.285069667841686
10,ID11num_kernels2000_max_alpha10,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=2000_max_alpha_10,2000,10,0.8630080746955748,1.3921746104555168,1.1760829218216204,0.018309273135261525,0.22135911495044236,0.09488715115882508,2587852.8,5.2571661222027615,5263511.023887777,0.21108161802973172
11,ID12num_kernels2000_max_alpha20,ETERRY-Human1Dist_MiniRocket_Ridge_num_kernels=2000_max_alpha_20,2000,20,0.8694169990698329,1.3210337296308905,1.1480503966083533,0.013956342467299902,0.1260391925268752,0.0549000590008107,2150400.0,5.351805042801425,12687513.75609819,0.1277704870552271
