,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
0,ID1n_estimators300_window_size0.5,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_0.5,300,0.5,0.819329499170782,1.8380150931597705,1.3505641459309117,0.024793776065340268,0.3142265736012596,0.11828601306020034,23307878.4,15.568473756033928,30107004.1540735,0.8083947502179335
1,ID2n_estimators300_window_size1.0,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_1.0,300,1.0,0.8300404417083775,1.7137583453735388,1.3015620493280247,0.040549507685863975,0.37024880388235126,0.1403373689455932,2413363.2,15.327375206816942,3540861.96323406,0.10107331263875716
2,ID3n_estimators300_window_size2.0,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_2.0,300,2.0,0.8275232666634796,1.7552152153190987,1.3122440246108795,0.04611824067038634,0.5079031398135585,0.18229326699617948,2140569.6,15.44682349441573,2781216.6954190107,0.09476775421628639
3,ID4n_estimators300_window_size5.0,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_5.0,300,5.0,0.8103597365055644,1.8660965286608129,1.3599959738206588,0.053405820222994886,0.35600512381612526,0.12848143777375115,2180710.4,15.889828490582294,3428673.1074472293,0.09917805107344406
4,ID5n_estimators300_window_size10.0,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_10.0,300,10.0,0.8369378256337484,1.6483424752373765,1.2693692402113976,0.05484209087629071,0.5286521605813997,0.19246871756863743,1934950.4,16.27714584961068,3757612.089366629,0.21750949200227493
5,ID6n_estimators150_window_size0.5,ETERRY-Human1Dist_TSForest_n_estimators=150_window_size_0.5,150,0.5,0.8405182829909528,1.612454850232222,1.2682821922235816,0.014005534813989768,0.1575984014276478,0.06257100862834145,-1491763.2,9.357439316017553,3429856.8640831877,0.2573963297122832
6,ID7n_estimators150_window_size1.0,ETERRY-Human1Dist_TSForest_n_estimators=150_window_size_1.0,150,1.0,0.8376734405337538,1.6179615759784387,1.2648888400900968,0.03883076577721099,0.3330605461451069,0.13423039221416472,2072576.0,9.234961154405028,4204724.655057071,0.3321045018216768
7,ID8n_estimators150_window_size2.0,ETERRY-Human1Dist_TSForest_n_estimators=150_window_size_2.0,150,2.0,0.8226874801131172,1.8138668829726217,1.3350335533761915,0.03827902862958429,0.4741566581570595,0.17762965499139374,2335539.2,9.092321627400816,3936609.6636958253,0.04218266519134385
8,ID9n_estimators150_window_size5.0,ETERRY-Human1Dist_TSForest_n_estimators=150_window_size_5.0,150,5.0,0.8357053420216024,1.6450468235747973,1.2778892834118825,0.03531327190666704,0.27682228399753545,0.10975337314116272,2002124.8,9.138270078226924,3661092.144851992,0.08554512070433481
9,ID10n_estimators150_window_size10.0,ETERRY-Human1Dist_TSForest_n_estimators=150_window_size_10.0,150,10.0,0.8232988198412524,1.7879860775260348,1.3304659744170668,0.034974216082335856,0.37637426554882697,0.133590300712585,2103705.6,9.351982532371768,3397101.6019034586,0.11228814630226377
