,param1,param2,r2_score_mean,r2_score_stddev
0,5,0.5,0.8511937194075803,0.03488627731629874
1,5,1.0,0.8645295559868058,0.018434245988897834
2,5,2.0,0.8662952351409274,0.02395144749611926
3,5,5.0,0.8335449914440801,0.024745939352922294
4,5,10.0,0.7036816127188563,0.037151605973794105
5,10,0.5,0.8596530363357159,0.028364128442956354
6,10,1.0,0.8610351203960537,0.02252907679743053
7,10,2.0,0.8642742777263035,0.03925069125645539
8,10,5.0,0.8328273939901372,0.011431525503002112
9,10,10.0,0.703144090275358,0.03778271148215576
10,20,0.5,0.861641229980132,0.028144050355768536
11,20,1.0,0.8650825999729765,0.015288371120142285
12,20,2.0,0.8624635308611017,0.04534350861665675
13,20,5.0,0.8324876595638575,0.017318104413771004
14,20,10.0,0.7044137040919065,0.04556455637970204
