,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
0,ID1max_alpha5_window_size0.5,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_0.5,5,0.5,0.8511937194075803,1.5065626289666088,1.2184739588634705,0.03488627731629874,0.3420238604464937,0.14793187803239008,52659814.4,10.45063673662953,62533138.66977213,0.1580714071050305
1,ID2max_alpha5_window_size1.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_1.0,5,1.0,0.8645295559868058,1.3746575795175844,1.1691841234021734,0.018434245988897834,0.20834310128760003,0.08755606833267171,95846.4,8.497483779210597,563658.416490555,0.30091855509551535
2,ID3max_alpha5_window_size2.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_2.0,5,2.0,0.8662952351409274,1.352162456801259,1.1574407656504868,0.02395144749611926,0.2632400521447177,0.11177356937878338,1624473.6,7.4530469896039,57234104.78770868,0.14088562834437454
3,ID4max_alpha5_window_size5.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_5.0,5,5.0,0.8335449914440801,1.6933132025512267,1.2935204080174463,0.024745939352922294,0.35901395717608064,0.14183848770205476,26529792.0,6.858865560195409,50100338.28367785,0.168620458867606
4,ID5max_alpha5_window_size10.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_10.0,5,10.0,0.7036816127188563,2.9960063758345425,1.7288133557873109,0.037151605973794105,0.2962601034479935,0.08491617446611222,1952972.8,6.6402505513746295,56551697.16143639,0.18484332065486175
5,ID6max_alpha10_window_size0.5,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=10_window_size_0.5,10,0.5,0.8596530363357159,1.4320512679367083,1.1876885776706794,0.028364128442956354,0.344412026503603,0.14644831991971327,1069875.2,10.352665526373311,116328902.90021724,0.15925338739030795
6,ID7max_alpha10_window_size1.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=10_window_size_1.0,10,1.0,0.8610351203960537,1.4107765083280719,1.182056099751604,0.02252907679743053,0.26276383467582376,0.11627504189677858,930611.2,8.425170662044547,55498275.01701963,0.15082544087200614
7,ID8max_alpha10_window_size2.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=10_window_size_2.0,10,2.0,0.8642742777263035,1.3684334645221108,1.154351090824347,0.03925069125645539,0.41338159985018763,0.18949148697171214,8620441.6,7.534141891193576,11459492.920277853,0.1510175167806354
8,ID9max_alpha10_window_size5.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=10_window_size_5.0,10,5.0,0.8328273939901372,1.6951215660291035,1.299543654148895,0.011431525503002112,0.2043004624670518,0.0794220182974515,915046.4,6.896699691168033,47241212.801969804,0.11766990485180746
9,ID10max_alpha10_window_size10.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=10_window_size_10.0,10,10.0,0.703144090275358,2.9955914736327096,1.7277590422414946,0.03778271148215576,0.3506597230848189,0.1021771284851103,1346764.8,6.584118954418227,84842526.60208876,0.18798028215966175
10,ID11max_alpha20_window_size0.5,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=20_window_size_0.5,20,0.5,0.861641229980132,1.405114894361584,1.1770987014325562,0.028144050355768536,0.30609744831673696,0.13983397815757775,50746163.2,10.345175781776197,124252425.32221813,0.16702745726469154
11,ID12max_alpha20_window_size1.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=20_window_size_1.0,20,1.0,0.8650825999729765,1.3702767126483464,1.1679929369571842,0.015288371120142285,0.1823729876585187,0.07790514659814007,-10966630.4,8.422327146795578,74886516.51294148,0.14932972136563522
12,ID13max_alpha20_window_size2.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=20_window_size_2.0,20,2.0,0.8624635308611017,1.3803886878480633,1.1633478029335085,0.04534350861665675,0.39922462639012624,0.16434894967063948,901120.0,7.5346419316250834,58358730.46147287,0.12168557154717768
13,ID14max_alpha20_window_size5.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=20_window_size_5.0,20,5.0,0.8324876595638575,1.7068237978621048,1.3020501005287088,0.017318104413771004,0.27762159417553955,0.10718830894871191,18728550.4,6.85311220898293,24054498.48578077,0.14312396420985715
14,ID15max_alpha20_window_size10.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=20_window_size_10.0,20,10.0,0.7044137040919065,2.9972329649093665,1.7243689303263174,0.04556455637970204,0.5429958603178012,0.1542230755582262,1340211.2,6.703673398820683,54949621.01513761,0.18136225112227705
