,testName,distanceToHuman1
1136,MODELFILE10_Test_112_07_07_2025_02_20_40,8.111669611262158
1911,MODELFILE17_Test_090_08_07_2025_22_28_41,10.0
813,MODELFILE08_Test_006_06_07_2025_13_46_41,9.311241154048338
1811,MODELFILE16_Test_109_08_07_2025_18_57_53,2.135422259650549
1536,MODELFILE14_Test_050_08_07_2025_07_42_38,9.310999937707626
1248,MODELFILE11_Test_114_07_07_2025_07_00_02,9.9109565197824
610,MODELFILE06_Test_037_06_07_2025_03_29_18,10.0
1367,MODELFILE12_Test_120_07_07_2025_11_38_06,3.2764785985449683
186,MODELFILE02_Test_080_05_07_2025_07_27_54,8.111702171258935
1580,MODELFILE14_Test_099_08_07_2025_09_59_53,9.311286146803646
971,MODELFILE09_Test_055_06_07_2025_19_33_16,9.31112472670546
1298,MODELFILE12_Test_038_07_07_2025_09_21_32,9.311230334577328
1197,MODELFILE11_Test_060_07_07_2025_04_42_58,10.0
907,MODELFILE08_Test_111_06_07_2025_17_10_48,0.4544286329108866
1596,MODELFILE14_Test_117_08_07_2025_09_59_53,4.852720274719716
1516,MODELFILE14_Test_027_08_07_2025_06_36_36,8.71157358509413
1888,MODELFILE17_Test_064_08_07_2025_21_19_19,10.0
275,MODELFILE03_Test_051_05_07_2025_13_40_23,9.311073432338183
1175,MODELFILE11_Test_032_07_07_2025_03_34_16,8.711594647918528
260,MODELFILE03_Test_036_05_07_2025_13_40_23,8.711443685561294
663,MODELFILE06_Test_096_06_07_2025_04_38_30,0.4939793475225537
1116,MODELFILE10_Test_091_07_07_2025_01_13_47,10.0
1896,MODELFILE17_Test_074_08_07_2025_22_28_41,8.71131214859193
731,MODELFILE07_Test_044_06_07_2025_08_03_01,8.711377717963696
1579,MODELFILE14_Test_098_08_07_2025_09_59_53,2.679084784278533
1598,MODELFILE14_Test_119_08_07_2025_09_59_53,9.311335806320596
1653,MODELFILE15_Test_056_08_07_2025_12_16_28,10.0
1443,MODELFILE13_Test_076_08_07_2025_04_15_58,8.71134205221215
493,MODELFILE05_Test_033_05_07_2025_22_56_39,3.7916087423062494
861,MODELFILE08_Test_061_06_07_2025_14_53_43,9.311247142844207
578,MODELFILE06_Test_002_06_07_2025_02_18_25,2.143074431444945
1031,MODELFILE09_Test_123_06_07_2025_21_43_41,1.1022740558486928
17,MODELFILE01_Test_020_04_07_2025_14_40_23,9.91104099588896
1868,MODELFILE17_Test_041_08_07_2025_21_19_19,9.311111927842648
1938,MODELFILE17_Test_120_08_07_2025_23_34_03,9.31147237992873
668,MODELFILE06_Test_101_06_07_2025_05_44_32,0.4926789143308693
286,MODELFILE03_Test_063_05_07_2025_13_40_23,9.911019187789668
1607,MODELFILE15_Test_004_08_07_2025_11_10_26,8.111674824350217
197,MODELFILE02_Test_092_05_07_2025_07_27_54,9.311285166035242
1386,MODELFILE13_Test_013_08_07_2025_01_59_04,9.310999937707626
195,MODELFILE02_Test_090_05_07_2025_07_27_54,8.711445870324132
1387,MODELFILE13_Test_014_08_07_2025_01_59_04,2.202082958888291
182,MODELFILE02_Test_076_05_07_2025_07_27_54,8.711313557780105
608,MODELFILE06_Test_035_06_07_2025_03_29_18,8.71155203044858
18,MODELFILE01_Test_021_04_07_2025_14_40_23,8.711771553562173
1383,MODELFILE13_Test_010_08_07_2025_01_59_04,10.0
517,MODELFILE05_Test_057_05_07_2025_22_56_39,9.311248740395326
375,MODELFILE04_Test_030_05_07_2025_17_15_08,9.910990195195378
631,MODELFILE06_Test_060_06_07_2025_03_29_18,9.311301787214187
690,MODELFILE06_Test_125_06_07_2025_05_44_32,9.311015149103774
46,MODELFILE01_Test_053_04_07_2025_15_47_25,2.1528231786751246
879,MODELFILE08_Test_081_06_07_2025_16_03_05,9.311187527724927
575,MODELFILE05_Test_127_06_07_2025_01_09_53,9.311221386527809
242,MODELFILE03_Test_017_05_07_2025_12_27_02,9.31154881610762
1230,MODELFILE11_Test_094_07_07_2025_05_51_50,0.6869767149588099
176,MODELFILE02_Test_070_05_07_2025_07_27_54,2.799718941403277
1861,MODELFILE17_Test_034_08_07_2025_21_19_19,9.311240335231265
1897,MODELFILE17_Test_075_08_07_2025_22_28_41,0.3263860454327576
1810,MODELFILE16_Test_108_08_07_2025_18_57_53,9.311221841072788
520,MODELFILE05_Test_061_05_07_2025_22_56_39,2.106117704346488
135,MODELFILE02_Test_024_05_07_2025_05_13_00,0.6197767041234269
1171,MODELFILE11_Test_027_07_07_2025_03_34_16,2.1394187375864804
213,MODELFILE02_Test_113_05_07_2025_08_36_37,8.711312917801537
1285,MODELFILE12_Test_025_07_07_2025_08_11_40,2.463758720533799
959,MODELFILE09_Test_042_06_07_2025_19_33_16,9.31118257152434
