,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.8569826009267846,0.0032588577443748838,0.05708640595075928,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,24.28161963634193,161775616
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.8731813262655777,0.0031946631759919623,0.05652135150535559,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,24.122186170890927,2080768
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.8617061812521779,0.0030564406325522897,0.05528508508225605,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,24.39645714312792,-38465536
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.850371725940379,0.003627066757283451,0.06022513393329608,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,24.310864120721817,-117870592
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.8360914169033293,0.004336369701557234,0.06585111769406221,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,24.1733254250139,147787776
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.8298506204449401,0.004135595035211801,0.06430859223472242,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,17.28691622801125,19406848
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.883108544995475,0.002760977687549049,0.05254500630458663,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,17.26496405340731,-11726848
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.8702316285012159,0.002981715389010581,0.05460508574309339,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,17.100024504587054,-651264
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.9126221690214975,0.0020791585826209226,0.045597791422621804,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,17.12445261143148,2514944
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.759084881033834,0.006289643376030155,0.07930727189879977,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,17.029519494622946,102477824
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.8589084551026834,0.0033579569614829246,0.05794788142359412,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,13.71332848072052,96141312
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.867027903273812,0.0030948343890230333,0.055631235731583684,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,13.586775403469801,-83558400
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.861194077765798,0.003530133512594786,0.05941492668172524,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,13.62495688535273,20115456
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.8686687232798889,0.0032883819627042947,0.05734441527040183,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,13.623911336064339,5058560
14,ID3n_estimators300_window_size2.0,300,2.0,4,0.8256650337197258,0.004033929413397824,0.06351322235092331,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split4.pdf,13.392970839515328,-22200320
15,ID4n_estimators300_window_size5.0,300,5.0,0,0.7971985760892186,0.004464972907052928,0.0668204527600115,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split0.pdf,11.302801668643951,20316160
16,ID4n_estimators300_window_size5.0,300,5.0,1,0.7474658331968667,0.0060867048211109675,0.07801733667019765,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split1.pdf,11.424227567389607,90918912
17,ID4n_estimators300_window_size5.0,300,5.0,2,0.8198734945640949,0.004552191416088701,0.06746992971753195,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split2.pdf,11.410963855683804,139227136
18,ID4n_estimators300_window_size5.0,300,5.0,3,0.8189228253869434,0.004657040076035101,0.06824250930347668,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split3.pdf,11.246279515326023,-142454784
19,ID4n_estimators300_window_size5.0,300,5.0,4,0.8166952622854914,0.004256194054380393,0.06523951298393017,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split4.pdf,11.11823888681829,-106835968
20,ID5n_estimators300_window_size10.0,300,10.0,0,0.6872236566967346,0.0073318673267901355,0.08562632379584058,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split0.pdf,10.4894151519984,21094400
21,ID5n_estimators300_window_size10.0,300,10.0,1,0.703872089145882,0.006782104896946748,0.08235353603183501,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split1.pdf,10.58701067045331,229376
22,ID5n_estimators300_window_size10.0,300,10.0,2,0.7622314510289661,0.005938425239754175,0.07706117855155198,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split2.pdf,10.592828607186675,87498752
23,ID5n_estimators300_window_size10.0,300,10.0,3,0.6629297706247279,0.007533555018436822,0.08679605416398158,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split3.pdf,10.585615882650018,-106790912
24,ID5n_estimators300_window_size10.0,300,10.0,4,0.7759566005741281,0.0060137691573078945,0.07754849551930647,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID5n_estimators300_window_size10.0-300-10.0-k_split4.pdf,10.445433117449284,20062208
25,ID6n_estimators150_window_size0.5,150,0.5,0,0.8326563488488636,0.0044109425263086435,0.06641492698413996,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split0.pdf,19.638987712562084,94248960
26,ID6n_estimators150_window_size0.5,150,0.5,1,0.8228614176735256,0.00431982649899575,0.06572538702050944,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split1.pdf,19.480420695617795,-59060224
27,ID6n_estimators150_window_size0.5,150,0.5,2,0.8593319312854845,0.003274324256820016,0.057221711411141976,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split2.pdf,19.60039866529405,-48316416
28,ID6n_estimators150_window_size0.5,150,0.5,3,0.8908336525901813,0.0024009369043892616,0.048999356163007504,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split3.pdf,19.575643634423614,-413696
29,ID6n_estimators150_window_size0.5,150,0.5,4,0.9036279378789212,0.0023731082830665343,0.04871455925148594,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID6n_estimators150_window_size0.5-150-0.5-k_split4.pdf,19.588648829609156,-6193152
30,ID7n_estimators150_window_size1.0,150,1.0,0,0.8669703895435861,0.0030123641185286656,0.05488500814000728,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID7n_estimators150_window_size1.0-150-1.0-k_split0.pdf,14.708814749494195,3801088
31,ID7n_estimators150_window_size1.0,150,1.0,1,0.815607411259877,0.003756880652641461,0.06129339811628542,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID7n_estimators150_window_size1.0-150-1.0-k_split1.pdf,16.631971636787057,-266240
32,ID7n_estimators150_window_size1.0,150,1.0,2,0.7795691025446173,0.0068729111304965665,0.08290302244488175,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID7n_estimators150_window_size1.0-150-1.0-k_split2.pdf,15.667000064626336,1056768
33,ID7n_estimators150_window_size1.0,150,1.0,3,0.8654552567662824,0.0034406309763496574,0.05865689197655854,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID7n_estimators150_window_size1.0-150-1.0-k_split3.pdf,17.384345836937428,-184320
34,ID7n_estimators150_window_size1.0,150,1.0,4,0.931315012970241,0.0013970627717224357,0.03737730289523892,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID7n_estimators150_window_size1.0-150-1.0-k_split4.pdf,17.68461892940104,1896448
35,ID8n_estimators150_window_size2.0,150,2.0,0,0.8659570002494845,0.003636570138634204,0.060303981117619455,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID8n_estimators150_window_size2.0-150-2.0-k_split0.pdf,13.476477608084679,17498112
