,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_window_size0.5,5,0.5,0,0.5107133670603756,0.010435731742368065,0.10215542933377582,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split0.pdf,16.05796025507152,-8884224
1,ID1max_alpha5_window_size0.5,5,0.5,1,0.44245885263086193,0.012458392109665109,0.11161716762964875,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split1.pdf,16.72850056923926,-1912832
2,ID1max_alpha5_window_size0.5,5,0.5,2,0.5729020439206294,0.010962302004367425,0.10470101243238972,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split2.pdf,16.78037879988551,256516096
3,ID1max_alpha5_window_size0.5,5,0.5,3,0.5520644809528478,0.01201691616624528,0.10962169569134242,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split3.pdf,16.59865781851113,-220684288
4,ID1max_alpha5_window_size0.5,5,0.5,4,0.5772597350161096,0.010432053040782447,0.10213742233276914,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split4.pdf,27.540089609101415,48087040
5,ID2max_alpha5_window_size1.0,5,1.0,0,0.49812420229655696,0.011177448990193298,0.10572345525092007,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split0.pdf,13.688112545758486,4980736
6,ID2max_alpha5_window_size1.0,5,1.0,1,0.47545308595401314,0.011699839614016818,0.10816579687690937,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split1.pdf,15.501068778336048,-172032
7,ID2max_alpha5_window_size1.0,5,1.0,2,0.5173726621493611,0.012061574425021536,0.10982519940806634,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split2.pdf,15.680739229544997,1454080
8,ID2max_alpha5_window_size1.0,5,1.0,3,0.5318164608819701,0.01308444721285172,0.11438726857850798,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split3.pdf,12.894927425310016,-1454080
9,ID2max_alpha5_window_size1.0,5,1.0,4,0.52728900499204,0.010955580160711305,0.10466890732548662,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split4.pdf,15.841227274388075,102400
10,ID3max_alpha5_window_size2.0,5,2.0,0,0.5110917817368967,0.012233719022564732,0.11060614369267528,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split0.pdf,12.50159116089344,18640896
11,ID3max_alpha5_window_size2.0,5,2.0,1,0.5124447373618417,0.0122009407553469,0.11045786868913822,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split1.pdf,12.34777413494885,13631488
12,ID3max_alpha5_window_size2.0,5,2.0,2,0.502389520368447,0.01149497919188156,0.10721464075340438,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split2.pdf,12.398115012794733,-45056
13,ID3max_alpha5_window_size2.0,5,2.0,3,0.4186832220473785,0.013093734084500772,0.11442785536966413,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split3.pdf,12.318546371534467,-29372416
14,ID3max_alpha5_window_size2.0,5,2.0,4,0.5240120768573341,0.011962572613217414,0.10937354622218946,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split4.pdf,12.1511883828789,-282624
15,ID4max_alpha5_window_size5.0,5,5.0,0,0.5181794398358075,0.011726274866569065,0.10828792576538283,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split0.pdf,10.291839517652988,17752064
16,ID4max_alpha5_window_size5.0,5,5.0,1,0.4557957023201398,0.012995118599937223,0.11399613414470344,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split1.pdf,10.44126434251666,0
17,ID4max_alpha5_window_size5.0,5,5.0,2,0.4059778295023816,0.014654293716211936,0.12105492024784427,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split2.pdf,10.42079021409154,0
18,ID4max_alpha5_window_size5.0,5,5.0,3,0.42705395874953544,0.012684229667274562,0.11262428542403527,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split3.pdf,10.429238252341747,0
19,ID4max_alpha5_window_size5.0,5,5.0,4,0.44051381694306624,0.014093497847725569,0.11871603871308024,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split4.pdf,10.865533336997032,995328
20,ID5max_alpha5_window_size10.0,5,10.0,0,0.37720117211391624,0.014406644325680179,0.12002768149756196,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID5max_alpha5_window_size10.0-5-10.0-k_split0.pdf,10.270111240446568,1974272
21,ID5max_alpha5_window_size10.0,5,10.0,1,0.4265986227741586,0.01355149364064293,0.11641088282734965,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID5max_alpha5_window_size10.0-5-10.0-k_split1.pdf,10.022805739194155,9515008
22,ID5max_alpha5_window_size10.0,5,10.0,2,0.38469962210512587,0.016724769158239828,0.12932427907488922,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID5max_alpha5_window_size10.0-5-10.0-k_split2.pdf,10.795165365561843,-10719232
23,ID5max_alpha5_window_size10.0,5,10.0,3,0.43681520812386154,0.012651305470800633,0.11247802216789124,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID5max_alpha5_window_size10.0-5-10.0-k_split3.pdf,10.567164942622185,151220224
24,ID5max_alpha5_window_size10.0,5,10.0,4,0.4139327654409555,0.013980684923432527,0.1182399463947465,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID5max_alpha5_window_size10.0-5-10.0-k_split4.pdf,10.33950261771679,-11980800
25,ID6max_alpha10_window_size0.5,10,0.5,0,0.5202421868057869,0.011905704699483119,0.10911326546063553,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID6max_alpha10_window_size0.5-10-0.5-k_split0.pdf,25.96180942095816,117764096
26,ID6max_alpha10_window_size0.5,10,0.5,1,0.5453525518092186,0.011573468580462532,0.10758005661116996,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID6max_alpha10_window_size0.5-10-0.5-k_split1.pdf,16.490647569298744,1171456
27,ID6max_alpha10_window_size0.5,10,0.5,2,0.5404070498514427,0.01162144023578524,0.10780278398902897,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID6max_alpha10_window_size0.5-10-0.5-k_split2.pdf,21.922456819564104,-111280128
28,ID6max_alpha10_window_size0.5,10,0.5,3,0.5590476332007789,0.010508521935131781,0.102511082011321,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID6max_alpha10_window_size0.5-10-0.5-k_split3.pdf,16.51482369750738,29937664
29,ID6max_alpha10_window_size0.5,10,0.5,4,0.5263741056775528,0.010102311670788035,0.10051025654523042,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID6max_alpha10_window_size0.5-10-0.5-k_split4.pdf,22.095091735944152,88408064
30,ID7max_alpha10_window_size1.0,10,1.0,0,0.5101913248660687,0.012912932494730743,0.11363508478780109,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID7max_alpha10_window_size1.0-10-1.0-k_split0.pdf,14.564983371645212,4734976
31,ID7max_alpha10_window_size1.0,10,1.0,1,0.489564174323609,0.01111191683782864,0.10541307716706044,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-PathCompletion_2025_07_15_03_05_15/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID7max_alpha10_window_size1.0-10-1.0-k_split1.pdf,13.358808713033795,16416768
