,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_window_size0.5,5,0.5,0,0.5857124988101845,0.4647464388848972,0.6817231394671133,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split0.pdf,34.372677240520716,-29253632
1,ID1max_alpha5_window_size0.5,5,0.5,1,0.5573548788114654,0.47294101844795916,0.6877070731408534,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split1.pdf,34.49099902622402,1409024
2,ID1max_alpha5_window_size0.5,5,0.5,2,0.5370236254191042,0.49269026678436517,0.7019189887617838,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split2.pdf,37.87193255312741,-49152
3,ID1max_alpha5_window_size0.5,5,0.5,3,0.5869567960796016,0.4732652113972133,0.687942738458088,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split3.pdf,30.257722621783614,34906112
4,ID1max_alpha5_window_size0.5,5,0.5,4,0.502840201947713,0.5598589942756388,0.748237258010879,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split4.pdf,17.593361891806126,-34615296
5,ID2max_alpha5_window_size1.0,5,1.0,0,0.5666619338604026,0.5409693036708854,0.7355061547471138,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split0.pdf,15.571107735857368,37429248
6,ID2max_alpha5_window_size1.0,5,1.0,1,0.5828760490781616,0.48820844152987347,0.6987191435261191,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split1.pdf,13.571463100612164,21168128
7,ID2max_alpha5_window_size1.0,5,1.0,2,0.5839560876787201,0.4471649389404093,0.6687039247233482,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split2.pdf,15.821363922208548,-49061888
8,ID2max_alpha5_window_size1.0,5,1.0,3,0.5519494399216343,0.44114078481739727,0.6641843003394444,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split3.pdf,15.115943912416697,-9523200
9,ID2max_alpha5_window_size1.0,5,1.0,4,0.49953847448174815,0.5267430463441634,0.7257706568497816,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split4.pdf,15.777581091970205,0
10,ID3max_alpha5_window_size2.0,5,2.0,0,0.5404804059171451,0.5323523665079269,0.7296248121520587,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split0.pdf,12.627697067335248,3887104
11,ID3max_alpha5_window_size2.0,5,2.0,1,0.5330960160100999,0.4812736937800292,0.6937389233566394,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split1.pdf,12.844055004417896,18419712
12,ID3max_alpha5_window_size2.0,5,2.0,2,0.5948392287108684,0.45466877298168945,0.6742913116611317,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split2.pdf,12.72276115603745,23179264
13,ID3max_alpha5_window_size2.0,5,2.0,3,0.5233610740312997,0.5534265347655972,0.7439264310169368,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split3.pdf,14.864106547087431,0
14,ID3max_alpha5_window_size2.0,5,2.0,4,0.5238164539354251,0.5033802352950053,0.7094929423856204,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split4.pdf,12.113301804289222,-23019520
15,ID4max_alpha5_window_size5.0,5,5.0,0,0.5311987215199987,0.48106498984606105,0.6935884873944067,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split0.pdf,10.34314857237041,-22310912
16,ID4max_alpha5_window_size5.0,5,5.0,1,0.5124772663931518,0.5795750581803405,0.7612982714943864,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split1.pdf,10.411315079778433,262144
17,ID4max_alpha5_window_size5.0,5,5.0,2,0.45654938205632534,0.5734129787955278,0.7572403705531868,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split2.pdf,10.231442213058472,20480
18,ID4max_alpha5_window_size5.0,5,5.0,3,0.4994516586171718,0.5499376371786324,0.7415778025120712,/mnt/soprano-extra/jharbin/predictors/2/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split3.pdf,10.402306847274303,0
