,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_n_estimators300,100,300,0,0.2207374361646124,7.220212281916428,2.6870452697929053,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID1num_kernels100_n_estimators300-100-300-k_split0.pdf,8.193032752722502,25616384
1,ID1num_kernels100_n_estimators300,100,300,1,0.3558896117547101,6.299150441523472,2.5098108377970383,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID1num_kernels100_n_estimators300-100-300-k_split1.pdf,8.294451352208853,0
2,ID1num_kernels100_n_estimators300,100,300,2,0.2890751716344909,7.620074260150421,2.7604481991427443,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID1num_kernels100_n_estimators300-100-300-k_split2.pdf,8.225741170346737,0
3,ID1num_kernels100_n_estimators300,100,300,3,0.3573679356997391,6.381437487994651,2.52615072550999,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID1num_kernels100_n_estimators300-100-300-k_split3.pdf,8.348855989053845,0
4,ID1num_kernels100_n_estimators300,100,300,4,0.2536890785072904,8.059651429627262,2.8389525233133543,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID1num_kernels100_n_estimators300-100-300-k_split4.pdf,8.338352961465716,0
5,ID2num_kernels100_n_estimators150,100,150,0,0.27778174284036805,8.397174007485486,2.8977877782000334,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID2num_kernels100_n_estimators150-100-150-k_split0.pdf,6.52915632724762,0
6,ID2num_kernels100_n_estimators150,100,150,1,0.46359566743457425,5.113503323379278,2.2613056678342445,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID2num_kernels100_n_estimators150-100-150-k_split1.pdf,6.573717996478081,0
7,ID2num_kernels100_n_estimators150,100,150,2,0.1430117120415011,8.551040604451781,2.9242162376356133,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID2num_kernels100_n_estimators150-100-150-k_split2.pdf,6.649158889427781,0
8,ID2num_kernels100_n_estimators150,100,150,3,0.2814721420406948,7.131210613364393,2.6704326640760656,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID2num_kernels100_n_estimators150-100-150-k_split3.pdf,6.571286704391241,0
9,ID2num_kernels100_n_estimators150,100,150,4,0.3286285336512552,6.435484944527841,2.5368257615626346,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID2num_kernels100_n_estimators150-100-150-k_split4.pdf,6.676968939602375,0
10,ID3num_kernels100_n_estimators50,100,50,0,0.2946355940243979,6.9402340955503785,2.6344324048170944,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID3num_kernels100_n_estimators50-100-50-k_split0.pdf,5.280706599354744,0
11,ID3num_kernels100_n_estimators50,100,50,1,0.3606231179485434,6.304675991988325,2.51091138672561,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID3num_kernels100_n_estimators50-100-50-k_split1.pdf,5.102908406406641,0
12,ID3num_kernels100_n_estimators50,100,50,2,0.3504676705697862,6.595866804982722,2.5682419677636923,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID3num_kernels100_n_estimators50-100-50-k_split2.pdf,5.193617617711425,0
13,ID3num_kernels100_n_estimators50,100,50,3,0.2764198959065237,7.223098663083515,2.68758230815049,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID3num_kernels100_n_estimators50-100-50-k_split3.pdf,4.988832691684365,0
14,ID3num_kernels100_n_estimators50,100,50,4,0.22822121706655785,8.379134407715563,2.8946734544185744,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID3num_kernels100_n_estimators50-100-50-k_split4.pdf,4.764571828767657,0
15,ID4num_kernels100_n_estimators20,100,20,0,0.2769662323070413,7.1541852495614835,2.6747308742304305,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID4num_kernels100_n_estimators20-100-20-k_split0.pdf,4.560396393761039,0
16,ID4num_kernels100_n_estimators20,100,20,1,0.22871862795441034,7.468235412344285,2.7328072402466086,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID4num_kernels100_n_estimators20-100-20-k_split1.pdf,4.542138624936342,0
17,ID4num_kernels100_n_estimators20,100,20,2,0.27708928469176586,7.481574638451593,2.735246723506235,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID4num_kernels100_n_estimators20-100-20-k_split2.pdf,4.517539592459798,0
18,ID4num_kernels100_n_estimators20,100,20,3,0.26202415645660426,7.813785068472383,2.7953148424591427,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID4num_kernels100_n_estimators20-100-20-k_split3.pdf,4.591628586873412,0
19,ID4num_kernels100_n_estimators20,100,20,4,0.2697728314078124,7.45378109974236,2.7301613688099757,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID4num_kernels100_n_estimators20-100-20-k_split4.pdf,4.617110505700111,0
20,ID5num_kernels500_n_estimators300,500,300,0,0.8648186150039572,1.3844178051345386,1.1766128526981756,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID5num_kernels500_n_estimators300-500-300-k_split0.pdf,37.452605705708265,0
21,ID5num_kernels500_n_estimators300,500,300,1,0.8971503989614148,1.0191557863025866,1.0095324592615071,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID5num_kernels500_n_estimators300-500-300-k_split1.pdf,37.80394131876528,0
22,ID5num_kernels500_n_estimators300,500,300,2,0.8113040434073155,1.7641938873866003,1.3282296064260126,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID5num_kernels500_n_estimators300-500-300-k_split2.pdf,37.62339825928211,0
23,ID5num_kernels500_n_estimators300,500,300,3,0.802565126972186,1.9585244348662645,1.3994729132306436,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID5num_kernels500_n_estimators300-500-300-k_split3.pdf,37.60659173876047,0
24,ID5num_kernels500_n_estimators300,500,300,4,0.8333520147569419,1.866777927568811,1.3663008188421797,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID5num_kernels500_n_estimators300-500-300-k_split4.pdf,38.23336476832628,0
25,ID6num_kernels500_n_estimators150,500,150,0,0.9274508653945529,0.79716480840755,0.8928408639883986,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID6num_kernels500_n_estimators150-500-150-k_split0.pdf,21.463798366487026,0
26,ID6num_kernels500_n_estimators150,500,150,1,0.8925105005791568,1.0659563996778576,1.0324516452008092,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-Human1Dist_2025_07_14_20_25_45/regression-ETERRY-Human1Dist_MiniRocket_GradBoost-IDID6num_kernels500_n_estimators150-500-150-k_split1.pdf,21.556977678090334,0
