,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.8828695630189668,0.1383990119125937,0.37202017675469395,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,36.71517575159669,-11620352
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.8658038234525645,0.1550034126320459,0.39370472772376747,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,34.43456495180726,38928384
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.8547388930068744,0.15262553400186585,0.39067318055104044,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,34.61934214644134,0
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.8718057322396031,0.13761464265714268,0.37096447627386464,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,75.73685091547668,12288
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.8998063675602542,0.1073361562590348,0.327621971575526,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,75.36510294303298,5251072
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.852987635286102,0.1497481752897503,0.386973093754269,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,73.18873035535216,-10043392
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.9093815428362284,0.10131040587678573,0.3182929560590145,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,71.53608737513423,7499776
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.8865482735863262,0.11676082016878098,0.34170282435002053,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,71.07016471214592,8192
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.8484820331681252,0.1930224919835241,0.43934325075449165,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,72.16428585164249,1765376
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.8779939785754522,0.13352022933708452,0.365404199944506,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,71.75485231727362,-3497984
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.8622643342600133,0.14946360938007283,0.38660523713482314,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,71.02481420710683,3997696
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.8916426512099707,0.12363151156947032,0.3516127295327493,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,72.67339486256242,-18452480
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.8456824708053816,0.1741846213608883,0.4173543115398334,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,72.72576510719955,20434944
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.8604323177824824,0.15386248724605975,0.39225309080497983,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,72.36551112681627,-44761088
14,ID3n_estimators300_window_size2.0,300,2.0,4,0.8773466023182412,0.12987654041983532,0.3603838792452228,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split4.pdf,73.51296482607722,24313856
15,ID4n_estimators300_window_size5.0,300,5.0,0,0.8643297534264158,0.1314295581708236,0.3625321477756471,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split0.pdf,73.67900698445737,12288
16,ID4n_estimators300_window_size5.0,300,5.0,1,0.8990010459774688,0.1180984131743993,0.34365449680514776,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split1.pdf,72.82235341146588,20480
17,ID4n_estimators300_window_size5.0,300,5.0,2,0.8585394122882678,0.16322173351716962,0.40400709587477496,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split2.pdf,73.57925883308053,0
18,ID4n_estimators300_window_size5.0,300,5.0,3,0.9002187326864568,0.1014501978185041,0.3185124767077486,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split3.pdf,75.05832043662667,14536704
19,ID4n_estimators300_window_size5.0,300,5.0,4,0.8291088663960197,0.20852929392896297,0.4566500782097414,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split4.pdf,74.87004381418228,-14524416
20,ID5n_estimators300_window_size10.0,300,10.0,0,0.8621542073856354,0.1485923301787748,0.3854767569890237,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split0.pdf,74.63733218610287,-21086208
21,ID5n_estimators300_window_size10.0,300,10.0,1,0.9010446030967616,0.11733998743039141,0.3425492481824933,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split1.pdf,76.2463444378227,540672
22,ID5n_estimators300_window_size10.0,300,10.0,2,0.8748483028963898,0.13081507478367962,0.36168366673611296,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split2.pdf,75.13800483383238,-540672
23,ID5n_estimators300_window_size10.0,300,10.0,3,0.84043407885529,0.17320275256686046,0.41617634791859626,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split3.pdf,76.85220128297806,540672
24,ID5n_estimators300_window_size10.0,300,10.0,4,0.8879906577114673,0.12681984523598389,0.35611774069257474,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split4.pdf,76.85393089987338,-811008
25,ID6n_estimators150_window_size0.5,150,0.5,0,0.8655466502896234,0.15001615168678872,0.38731918579743596,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split0.pdf,47.583127902820706,-2969600
26,ID6n_estimators150_window_size0.5,150,0.5,1,0.884774326057188,0.11984804742531388,0.3461907673888977,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split1.pdf,39.07362392358482,12288
27,ID6n_estimators150_window_size0.5,150,0.5,2,0.8741486822593534,0.14316781820421964,0.37837523466027695,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split2.pdf,38.918159905821085,0
28,ID6n_estimators150_window_size0.5,150,0.5,3,0.8679984543219024,0.14481413675636032,0.380544526640918,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_15_00_15_45/regression-ETERRY-StaticHumanDist_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split3.pdf,47.176734540611506,0
