,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.8659785278010178,0.0029129565484937196,0.053971812536672506,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,17.724807480932213,13090816
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.7852410745740019,0.005700462925651129,0.07550141009048195,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,17.550569420913234,125186048
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.7331053483324426,0.0064639939469701485,0.08039896732527196,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,18.143131676944904,1093632
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.910281430802623,0.0022133657100364057,0.04704642079942326,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,17.806003612931818,5181440
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.786161777876613,0.005033154911111672,0.07094473138374457,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,17.808069420047104,104628224
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.8611024908004887,0.00357039405560352,0.05975277445946355,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,12.136796598904766,25288704
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.766459393635021,0.0044186774523059585,0.06647313331193257,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,12.300118142040446,1064960
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.806793911613811,0.004402050376938646,0.06634794930469702,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,12.173198038944975,-1064960
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.8101219680529667,0.004992697651130131,0.0706590238478436,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,12.264414709992707,1941504
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.8901427143756027,0.0029553508564323094,0.05436313876545678,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,12.218953609932214,3178496
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.8869665009002388,0.0031382236754145944,0.05601985072645762,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,9.280074332957156,-28856320
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.7498695084827915,0.0059749967140291195,0.07729810291351993,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,9.358097965014167,13606912
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.8720835733085571,0.0028622159009959684,0.05349968131677018,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,9.526503706001677,-5312512
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.8740530058775354,0.0030299272670864207,0.0550447751115982,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,9.432531125028618,12636160
14,ID3n_estimators300_window_size2.0,300,2.0,4,0.8139905337764503,0.004164750661453986,0.06453487941767604,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split4.pdf,9.5391132729128,14024704
15,ID4n_estimators300_window_size5.0,300,5.0,0,0.8177922263167463,0.004922920719781471,0.07016352841599025,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split0.pdf,7.75893145299051,-21331968
16,ID4n_estimators300_window_size5.0,300,5.0,1,0.8351281228060723,0.003858553777316048,0.06211725828878838,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split1.pdf,7.772025607991964,1974272
17,ID4n_estimators300_window_size5.0,300,5.0,2,0.7649019586383181,0.005583046262271825,0.07471978494529963,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split2.pdf,7.937482428038493,66822144
18,ID4n_estimators300_window_size5.0,300,5.0,3,0.751335635794399,0.006040357859496804,0.07771973918829633,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split3.pdf,7.701412349008024,-274432
19,ID4n_estimators300_window_size5.0,300,5.0,4,0.8457708235472177,0.0034464887401048135,0.058706803184169494,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletionTSFreshWin_GradBoost-IDID4n_estimators300_window_size5.0-300-5.0-k_split4.pdf,7.808233643998392,24514560
