,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_max_alpha5,100,5,0,0.08551377829445694,0.019685354520761623,0.14030450641644274,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split0.pdf,1.9034868250600994,19103744
1,ID1num_kernels100_max_alpha5,100,5,1,0.21670185595673686,0.019619397838623525,0.14006926086270152,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split1.pdf,2.1699275829596445,8724480
2,ID1num_kernels100_max_alpha5,100,5,2,0.18962023093502267,0.020112530864167456,0.14181865485248213,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split2.pdf,1.905109353014268,-3534848
3,ID1num_kernels100_max_alpha5,100,5,3,0.25116877046871644,0.01862755602645208,0.1364828048746511,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split3.pdf,2.143958293949254,-5902336
4,ID1num_kernels100_max_alpha5,100,5,4,0.13538368356824293,0.02121295484072804,0.14564667809712667,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split4.pdf,2.179239927092567,-856064
5,ID2num_kernels100_max_alpha10,100,10,0,0.22113852688807212,0.017223427886399,0.13123805807157846,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split0.pdf,1.90445036906749,21229568
6,ID2num_kernels100_max_alpha10,100,10,1,0.14738796948441646,0.022970288981105376,0.15155952289811872,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split1.pdf,2.1802144509274513,-11161600
7,ID2num_kernels100_max_alpha10,100,10,2,0.13313238460213128,0.019501143620064724,0.1396464951943468,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split2.pdf,1.905775969964452,6430720
8,ID2num_kernels100_max_alpha10,100,10,3,0.12290654709164517,0.020030274798570915,0.14152835333801816,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split3.pdf,2.1611341099487618,-1445888
9,ID2num_kernels100_max_alpha10,100,10,4,0.18630133541782445,0.020922410540339217,0.144645810656027,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split4.pdf,1.910718603990972,1290240
