,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_window_size0.5,5,0.5,0,0.5707875072731834,0.011041748259461684,0.1050797233507097,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split0.pdf,10.298203564016148,-22138880
1,ID1max_alpha5_window_size0.5,5,0.5,1,0.5048984801337835,0.011051580956258151,0.10512649978125473,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split1.pdf,10.519708284991793,4096
2,ID1max_alpha5_window_size0.5,5,0.5,2,0.48229691183505075,0.012706527238500725,0.1127232329136311,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split2.pdf,10.541181266075,466944
3,ID1max_alpha5_window_size0.5,5,0.5,3,0.4957241853408062,0.012703417013083152,0.11270943622023469,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split3.pdf,10.354679786949418,-151552
4,ID1max_alpha5_window_size0.5,5,0.5,4,0.5098493016479473,0.011095502551725377,0.10533519142112657,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split4.pdf,10.532368596992455,27287552
5,ID2max_alpha5_window_size1.0,5,1.0,0,0.5888095291709117,0.010620126597731898,0.10305399845581877,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split0.pdf,8.630646304925904,-18931712
6,ID2max_alpha5_window_size1.0,5,1.0,1,0.5160666330890158,0.012373141366375321,0.1112346230558423,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split1.pdf,8.42946898099035,0
7,ID2max_alpha5_window_size1.0,5,1.0,2,0.47480059802342345,0.01171145098658661,0.10821945752306564,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split2.pdf,8.640809381962754,73728
8,ID2max_alpha5_window_size1.0,5,1.0,3,0.5320466748920363,0.012236159358405127,0.11061717478947439,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split3.pdf,8.388457141001709,42262528
9,ID2max_alpha5_window_size1.0,5,1.0,4,0.4635506139891914,0.011159942405539294,0.10564062857413947,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split4.pdf,8.489969908026978,-692224
10,ID3max_alpha5_window_size2.0,5,2.0,0,0.5730377287356597,0.012277389986810973,0.11080338436532962,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split0.pdf,7.481828575022519,-41115648
11,ID3max_alpha5_window_size2.0,5,2.0,1,0.46270002807657995,0.012063084361971715,0.10983207346659588,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split1.pdf,7.588197664008476,-188416
12,ID3max_alpha5_window_size2.0,5,2.0,2,0.4238246079109609,0.013167024317449606,0.1147476549540321,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split2.pdf,7.55436610605102,40960
13,ID3max_alpha5_window_size2.0,5,2.0,3,0.5045801191631237,0.011145955011414677,0.10557440509619118,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split3.pdf,7.687819251092151,44060672
14,ID3max_alpha5_window_size2.0,5,2.0,4,0.4911608016806941,0.012293459144424514,0.11087587268844612,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split4.pdf,7.394001730019227,253952
15,ID4max_alpha5_window_size5.0,5,5.0,0,0.38373261205304054,0.015348725005041038,0.12388997136588997,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-PathCompletion_2025_07_14_23_18_58/regression-ETERRY-PathCompletion_TSFreshWin_Ridge-IDID4max_alpha5_window_size5.0-5-5.0-k_split0.pdf,6.801316924043931,638976
