,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_max_alpha5,100,5,0,0.30941372959385405,0.8389111137590402,0.9159209102095225,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split0.pdf,2.1355349839432165,21352448
1,ID1num_kernels100_max_alpha5,100,5,1,0.2868294925772439,0.7769531898290309,0.8814494822898422,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split1.pdf,2.1491216809954494,-1478656
2,ID1num_kernels100_max_alpha5,100,5,2,0.3394151559876444,0.7408991281944831,0.8607549757012637,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split2.pdf,1.911089699016884,8392704
3,ID1num_kernels100_max_alpha5,100,5,3,0.33561107312735405,0.7394957101276939,0.8599393642156951,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split3.pdf,2.089142911019735,-24576000
4,ID1num_kernels100_max_alpha5,100,5,4,0.32441246398469803,0.663924931566443,0.8148158881406542,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split4.pdf,2.155318793025799,18370560
5,ID2num_kernels100_max_alpha10,100,10,0,0.395530738987516,0.6484907431573191,0.8052892295053493,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split0.pdf,1.9510433279210702,11108352
6,ID2num_kernels100_max_alpha10,100,10,1,0.35633465187081714,0.6756339688156311,0.8219695668427336,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split1.pdf,2.1530711450614035,-1093632
7,ID2num_kernels100_max_alpha10,100,10,2,0.37365750312228785,0.7080156949660428,0.8414366850607613,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split2.pdf,1.9725592589238659,-2457600
8,ID2num_kernels100_max_alpha10,100,10,3,0.27237912704843914,0.8567526622451305,0.9256093464551503,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split3.pdf,2.139369904063642,5185536
9,ID2num_kernels100_max_alpha10,100,10,4,0.2382070894461057,0.8377811527464327,0.9153038581511785,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split4.pdf,2.144218450994231,946176
10,ID3num_kernels100_max_alpha20,100,20,0,0.38344242680229834,0.5976537650567476,0.773080697635601,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split0.pdf,1.9506471160566434,8110080
11,ID3num_kernels100_max_alpha20,100,20,1,0.3115694510799759,0.8217957341357207,0.9065294998706445,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split1.pdf,2.1408082459820434,147456
12,ID3num_kernels100_max_alpha20,100,20,2,0.23709277549391727,0.8853734045858782,0.940942827479905,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split2.pdf,2.1477565149543807,647168
13,ID3num_kernels100_max_alpha20,100,20,3,0.3660914807193957,0.7269147520069252,0.8525929579857702,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split3.pdf,1.9510138629702851,-3211264
14,ID3num_kernels100_max_alpha20,100,20,4,0.3335376603885476,0.6969647778523631,0.8348441638128419,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split4.pdf,2.16150160797406,-1966080
15,ID4num_kernels500_max_alpha5,500,5,0,0.628084472929627,0.42586995447709924,0.6525871240509571,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split0.pdf,2.637690766947344,20557824
16,ID4num_kernels500_max_alpha5,500,5,1,0.5948851409381178,0.48720090048667586,0.6979977797147179,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split1.pdf,2.4379706799518317,1572864
17,ID4num_kernels500_max_alpha5,500,5,2,0.6108102301467282,0.40434303105287206,0.635879730022016,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split2.pdf,2.5854498429689556,-3158016
18,ID4num_kernels500_max_alpha5,500,5,3,0.576553519567337,0.4364161226490636,0.6606179854114355,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split3.pdf,2.4106058180332184,4706304
19,ID4num_kernels500_max_alpha5,500,5,4,0.667713975806193,0.36659856981132144,0.6054738390808652,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split4.pdf,2.607035916065797,-3788800
20,ID5num_kernels500_max_alpha10,500,10,0,0.6198889557466962,0.4377891684010969,0.6616563824230043,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID5num_kernels500_max_alpha10-500-10-k_split0.pdf,2.6226372540695593,13066240
21,ID5num_kernels500_max_alpha10,500,10,1,0.6314258725363815,0.3814079625876077,0.6175823528790373,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID5num_kernels500_max_alpha10-500-10-k_split1.pdf,2.5733005478978157,-4861952
22,ID5num_kernels500_max_alpha10,500,10,2,0.609079442804696,0.4394278517239423,0.6628935447897666,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID5num_kernels500_max_alpha10-500-10-k_split2.pdf,2.4313704340020195,2965504
23,ID5num_kernels500_max_alpha10,500,10,3,0.6595905901272675,0.3874387775281559,0.6224458028841996,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID5num_kernels500_max_alpha10-500-10-k_split3.pdf,2.6140850329538807,-4628480
24,ID5num_kernels500_max_alpha10,500,10,4,0.5996593773655936,0.4318317325168271,0.6571390511275579,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID5num_kernels500_max_alpha10-500-10-k_split4.pdf,2.4337805750546977,4509696
25,ID6num_kernels500_max_alpha20,500,20,0,0.6200070653740375,0.4338397827552814,0.6586651522247715,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID6num_kernels500_max_alpha20-500-20-k_split0.pdf,2.5927517829695717,9125888
26,ID6num_kernels500_max_alpha20,500,20,1,0.6038135504314768,0.40792535080860054,0.638690340312581,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID6num_kernels500_max_alpha20-500-20-k_split1.pdf,2.5813881600042805,4001792
27,ID6num_kernels500_max_alpha20,500,20,2,0.6262967617391444,0.4122502429281478,0.642067163876294,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID6num_kernels500_max_alpha20-500-20-k_split2.pdf,2.439807477989234,-5017600
28,ID6num_kernels500_max_alpha20,500,20,3,0.6474381610582898,0.40419074614446543,0.6357599752614704,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID6num_kernels500_max_alpha20-500-20-k_split3.pdf,2.562936414964497,3420160
29,ID6num_kernels500_max_alpha20,500,20,4,0.6471352868150557,0.3914503029184139,0.6256598939666933,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID6num_kernels500_max_alpha20-500-20-k_split4.pdf,2.617764641996473,610304
30,ID7num_kernels1000_max_alpha5,1000,5,0,0.6282743376225195,0.4169592576461549,0.6457238245923368,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID7num_kernels1000_max_alpha5-1000-5-k_split0.pdf,3.1807878860272467,26812416
31,ID7num_kernels1000_max_alpha5,1000,5,1,0.6453364187030535,0.41801598857342676,0.6465415598191865,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID7num_kernels1000_max_alpha5-1000-5-k_split1.pdf,3.364583289017901,106496
32,ID7num_kernels1000_max_alpha5,1000,5,2,0.5954600525735952,0.44205353478598935,0.6648710662872835,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID7num_kernels1000_max_alpha5-1000-5-k_split2.pdf,3.1678275319281965,-3620864
33,ID7num_kernels1000_max_alpha5,1000,5,3,0.6047032043940251,0.3945022859857038,0.6280941696797573,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID7num_kernels1000_max_alpha5-1000-5-k_split3.pdf,3.3587196809239686,2035712
34,ID7num_kernels1000_max_alpha5,1000,5,4,0.5602025931800821,0.4993557660490886,0.7066510921587036,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID7num_kernels1000_max_alpha5-1000-5-k_split4.pdf,3.3823602000484243,1880064
35,ID8num_kernels1000_max_alpha10,1000,10,0,0.6341721418583117,0.4414151471408101,0.6643908090429985,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID8num_kernels1000_max_alpha10-1000-10-k_split0.pdf,3.2006129409419373,11681792
36,ID8num_kernels1000_max_alpha10,1000,10,1,0.5820837403894249,0.4730643824933974,0.6877967595833797,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID8num_kernels1000_max_alpha10-1000-10-k_split1.pdf,3.3960820289794356,-233472
37,ID8num_kernels1000_max_alpha10,1000,10,2,0.6650007438087827,0.3765549377516217,0.6136407236743839,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID8num_kernels1000_max_alpha10-1000-10-k_split2.pdf,3.3956163870170712,3379200
38,ID8num_kernels1000_max_alpha10,1000,10,3,0.6060444820255126,0.407272676577266,0.6381791884551439,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID8num_kernels1000_max_alpha10-1000-10-k_split3.pdf,3.2467882179189473,-5132288
39,ID8num_kernels1000_max_alpha10,1000,10,4,0.6636356054644805,0.3489982628857526,0.5907607492765177,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID8num_kernels1000_max_alpha10-1000-10-k_split4.pdf,3.3741624020040035,-2068480
40,ID9num_kernels1000_max_alpha20,1000,20,0,0.6674063962890965,0.3858682151065211,0.6211829159808897,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_MiniRocket_Ridge-IDID9num_kernels1000_max_alpha20-1000-20-k_split0.pdf,3.392482099006884,10993664
