,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.8587883540977327,0.15068341501147248,0.38817961694487835,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,16.06832108797971,33210368
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.8551966623653344,0.15243502298546374,0.3904292803895012,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,15.065057486994192,778240
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.8965986608761645,0.11239720562044002,0.33525692479118163,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,15.164031681022607,-675840
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.8703120721244234,0.14275645779987928,0.37783125572122706,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,15.140019105980173,991232
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.8936833045615038,0.12922873479410493,0.35948398405785054,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,15.2027861160459,1454080
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.9115171219472507,0.09489008723960086,0.30804234650385465,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,15.19875730201602,9519104
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.8712602531948999,0.14452621210730401,0.38016603229024026,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,15.161300437990576,831488
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.8357259536289765,0.17318462253277295,0.416154565675751,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,15.21342864993494,-1024000
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.8755334974717234,0.13189459750103213,0.3631729581081611,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,15.262237447081134,282624
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.8519851209857678,0.17836253242704558,0.42232988578485137,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,15.03385916899424,307200
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.8795803404007714,0.13763360126262875,0.37099002852183066,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,15.491030672914349,10412032
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.8272358033050684,0.18514420213974883,0.4302838622813419,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,15.282840379979461,-577536
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.8521034389713207,0.15551094594721337,0.39434876181777645,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,14.993963267072104,65536
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.8701970665156088,0.15121760151282757,0.38886707434909884,/home/jharbin/academic/soprano/SBTPredictors/results/ETERRY-StaticHumanDist_2025_07_14_21_52_57/regression-ETERRY-StaticHumanDist_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,15.13906164409127,139264
