,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_min_samples_split2,300,2,0,0.6428809573163021,0.010381867063455289,0.10189144744999597,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID1n_estimators300_min_samples_split2-300-2-k_split0.pdf,12.112526627257466,205754368
1,ID1n_estimators300_min_samples_split2,300,2,1,0.4703277865904786,0.015798248932201588,0.1256910853330561,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID1n_estimators300_min_samples_split2-300-2-k_split1.pdf,12.778842812404037,26202112
2,ID1n_estimators300_min_samples_split2,300,2,2,0.6596157147067208,0.007844488442765267,0.0885691167550251,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID1n_estimators300_min_samples_split2-300-2-k_split2.pdf,12.042124254629016,8183808
3,ID1n_estimators300_min_samples_split2,300,2,3,0.4512702310541056,0.012010811732999376,0.1095938489742895,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID1n_estimators300_min_samples_split2-300-2-k_split3.pdf,12.62227826192975,11370496
4,ID1n_estimators300_min_samples_split2,300,2,4,0.5120677939070815,0.014167565697663866,0.11902758376806556,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID1n_estimators300_min_samples_split2-300-2-k_split4.pdf,12.193705029785633,8257536
5,ID2n_estimators300_min_samples_split3,300,3,0,0.5232596608144818,0.01014757974774329,0.10073519617166231,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID2n_estimators300_min_samples_split3-300-3-k_split0.pdf,12.81049950234592,9609216
6,ID2n_estimators300_min_samples_split3,300,3,1,0.6908873476236064,0.009001106560980434,0.09487416171424354,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID2n_estimators300_min_samples_split3-300-3-k_split1.pdf,12.214474484324455,6656000
7,ID2n_estimators300_min_samples_split3,300,3,2,0.46808867332550397,0.014919694001998,0.1221461992941164,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID2n_estimators300_min_samples_split3-300-3-k_split2.pdf,12.895578321069479,7430144
8,ID2n_estimators300_min_samples_split3,300,3,3,0.6562842411372133,0.009771347113416656,0.09885012449874131,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID2n_estimators300_min_samples_split3-300-3-k_split3.pdf,12.209340957924724,5595136
9,ID2n_estimators300_min_samples_split3,300,3,4,0.4869359665430143,0.013187379625452505,0.11483631666616839,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID2n_estimators300_min_samples_split3-300-3-k_split4.pdf,12.356438126415014,6914048
10,ID3n_estimators300_min_samples_split4,300,4,0,0.5900567650981873,0.012239545275285658,0.11063247839258442,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID3n_estimators300_min_samples_split4-300-4-k_split0.pdf,12.434308361262083,4870144
11,ID3n_estimators300_min_samples_split4,300,4,1,0.4240322128052547,0.011980642728794089,0.10945612239063691,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID3n_estimators300_min_samples_split4-300-4-k_split1.pdf,12.305629953742027,4116480
12,ID3n_estimators300_min_samples_split4,300,4,2,0.5660985555992579,0.010835415322361656,0.10409330104459967,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID3n_estimators300_min_samples_split4-300-4-k_split2.pdf,12.22072458639741,7847936
13,ID3n_estimators300_min_samples_split4,300,4,3,0.3669502401833522,0.016783032349742766,0.1295493433010865,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID3n_estimators300_min_samples_split4-300-4-k_split3.pdf,12.306594816967845,6250496
14,ID3n_estimators300_min_samples_split4,300,4,4,0.6595837293235132,0.010457895500016613,0.10226385236248736,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID3n_estimators300_min_samples_split4-300-4-k_split4.pdf,12.210834352299571,7262208
15,ID4n_estimators150_min_samples_split2,150,2,0,0.6412123683888971,0.008361281953383405,0.09144004567684448,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID4n_estimators150_min_samples_split2-150-2-k_split0.pdf,11.904286241158843,8265728
16,ID4n_estimators150_min_samples_split2,150,2,1,0.5088499476944907,0.011941337010578283,0.10927642477029656,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID4n_estimators150_min_samples_split2-150-2-k_split1.pdf,11.901446294039488,7004160
17,ID4n_estimators150_min_samples_split2,150,2,2,0.5159102724269153,0.017262151270311974,0.13138550631752338,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID4n_estimators150_min_samples_split2-150-2-k_split2.pdf,11.895044203847647,6455296
18,ID4n_estimators150_min_samples_split2,150,2,3,0.5078219116882594,0.014882234454471068,0.12199276394307601,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID4n_estimators150_min_samples_split2-150-2-k_split3.pdf,11.826676512137055,-2797568
19,ID4n_estimators150_min_samples_split2,150,2,4,0.4757440830947499,0.01003191293675091,0.10015943758204171,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID4n_estimators150_min_samples_split2-150-2-k_split4.pdf,12.036837631836534,3096576
20,ID5n_estimators150_min_samples_split3,150,3,0,0.6002031767848075,0.008968244400310776,0.09470081520404551,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID5n_estimators150_min_samples_split3-150-3-k_split0.pdf,11.839519830420613,13783040
21,ID5n_estimators150_min_samples_split3,150,3,1,0.5314527703469307,0.013066314418933737,0.1143079805566249,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID5n_estimators150_min_samples_split3-150-3-k_split1.pdf,11.843521209433675,8499200
22,ID5n_estimators150_min_samples_split3,150,3,2,0.611257385841653,0.009987023456340756,0.09993509621919996,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID5n_estimators150_min_samples_split3-150-3-k_split2.pdf,11.82262053154409,5529600
23,ID5n_estimators150_min_samples_split3,150,3,3,0.6055097873628664,0.011280402817020516,0.10620924073271834,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID5n_estimators150_min_samples_split3-150-3-k_split3.pdf,11.946861939504743,5005312
24,ID5n_estimators150_min_samples_split3,150,3,4,0.3870555789184852,0.01739433921867865,0.13188760070104638,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID5n_estimators150_min_samples_split3-150-3-k_split4.pdf,11.886374771595001,8060928
25,ID6n_estimators150_min_samples_split4,150,4,0,0.599377899871375,0.012713518520955725,0.1127542394810755,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID6n_estimators150_min_samples_split4-150-4-k_split0.pdf,11.821079595014453,6283264
26,ID6n_estimators150_min_samples_split4,150,4,1,0.583655654666335,0.012382088649157703,0.1112748338536513,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID6n_estimators150_min_samples_split4-150-4-k_split1.pdf,11.926589785143733,-1728512
27,ID6n_estimators150_min_samples_split4,150,4,2,0.5329426386093199,0.009474017714361623,0.09733456587647382,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID6n_estimators150_min_samples_split4-150-4-k_split2.pdf,11.85351724922657,11837440
28,ID6n_estimators150_min_samples_split4,150,4,3,0.59212948841179,0.0083345908456244,0.09129398033618864,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID6n_estimators150_min_samples_split4-150-4-k_split3.pdf,11.854929832741618,8318976
29,ID6n_estimators150_min_samples_split4,150,4,4,0.40309053836549114,0.01827488263821512,0.13518462426701905,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID6n_estimators150_min_samples_split4-150-4-k_split4.pdf,11.92377833276987,69632
30,ID7n_estimators50_min_samples_split2,50,2,0,0.5662541774396432,0.009802410527273453,0.0990071236188258,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID7n_estimators50_min_samples_split2-50-2-k_split0.pdf,11.549548355862498,-1626112
31,ID7n_estimators50_min_samples_split2,50,2,1,0.4810085036935774,0.017300577169143974,0.1315316584292313,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID7n_estimators50_min_samples_split2-50-2-k_split1.pdf,11.627324623987079,7913472
32,ID7n_estimators50_min_samples_split2,50,2,2,0.559763205828517,0.011638749978420664,0.1078830384185608,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID7n_estimators50_min_samples_split2-50-2-k_split2.pdf,11.521102519705892,13418496
33,ID7n_estimators50_min_samples_split2,50,2,3,0.571500127020281,0.010434978023984525,0.10215174019068166,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-FourjointsTSFreshWin_GradBoost-IDID7n_estimators50_min_samples_split2-50-2-k_split3.pdf,11.197292190045118,4538368
