,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.7537598123198461,0.005726934899813856,0.07567651484981226,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,30.52604785747826,57643008
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.5408213847593246,0.011114446269835253,0.10542507419886055,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,28.79249144718051,11538432
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.7343010093763325,0.0071575973272664005,0.0846025846370334,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,29.21983141079545,315392
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.6964087003567105,0.00923643391221988,0.09610636769860716,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,28.541156508028507,475136
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.6181865328566064,0.010664758261998286,0.10327031646120916,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,29.98653817549348,2609152
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.6915069668975403,0.007569689114342298,0.0870039603371151,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,29.490135161206126,-10702848
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.6593228786938733,0.007547210997736389,0.0868746855979139,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,28.902488803490996,12312576
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.7341882553546009,0.006675690342693553,0.0817048979112853,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,29.130561182275414,-12800000
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.643253503283718,0.010867804236758429,0.10424876132001967,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,29.186384316533804,10887168
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.6296991630716164,0.011356636328918823,0.10656752004677045,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,29.21274151839316,1552384
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.6697553290640665,0.008572531070355585,0.09258796396052558,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,29.282965663820505,-9261056
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.6413917264302753,0.009419282099694757,0.09705298604213451,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,29.099743148311973,11026432
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.7249952447170644,0.0070069987265543995,0.08370781759521867,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,29.3168384693563,249856
13,ID3n_estimators300_window_size2.0,300,2.0,3,0.6324322157569784,0.00808096172038007,0.08989416955720804,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split3.pdf,29.11741967871785,-167936
14,ID3n_estimators300_window_size2.0,300,2.0,4,0.6138854621650154,0.01264509819388506,0.11245042549445983,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split4.pdf,28.839904841035604,1015808
15,ID4n_estimators300_window_size5.0,300,5.0,0,0.5624072359775802,0.012815236232697248,0.11320440023557939,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split0.pdf,30.07754103653133,2666496
16,ID4n_estimators300_window_size5.0,300,5.0,1,0.6540521770882113,0.006990263143914814,0.08360779355966054,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split1.pdf,29.855896478518844,11124736
17,ID4n_estimators300_window_size5.0,300,5.0,2,0.5506453988944247,0.012398603651808672,0.11134901729161632,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split2.pdf,29.721038542687893,1249280
18,ID4n_estimators300_window_size5.0,300,5.0,3,0.7353282001496777,0.006887353774681111,0.08299008238748236,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split3.pdf,29.85964302904904,-622592
19,ID4n_estimators300_window_size5.0,300,5.0,4,0.7365618441508397,0.007874280031983623,0.08873714009355735,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID4n_estimators300_window_size5.0-300-5.0-k_split4.pdf,30.044049279764295,106496
20,ID5n_estimators300_window_size10.0,300,10.0,0,0.734685081102616,0.006390495418339831,0.07994057429328258,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split0.pdf,31.74987498857081,3067904
21,ID5n_estimators300_window_size10.0,300,10.0,1,0.5898217141464803,0.014313133369714999,0.11963750820589251,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split1.pdf,31.537834296002984,270336
22,ID5n_estimators300_window_size10.0,300,10.0,2,0.7085942642198725,0.007138466008387547,0.0844894431771659,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split2.pdf,31.20630392432213,-540672
23,ID5n_estimators300_window_size10.0,300,10.0,3,0.48395143588137446,0.011208785270472428,0.10587155080791265,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split3.pdf,31.294636957347393,278528
24,ID5n_estimators300_window_size10.0,300,10.0,4,0.756465843297651,0.006741070129420264,0.08210402017818777,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID5n_estimators300_window_size10.0-300-10.0-k_split4.pdf,31.164574997499585,245760
25,ID6n_estimators150_window_size0.5,150,0.5,0,0.7126113650883816,0.007775840375741589,0.08818072564762432,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split0.pdf,16.852839989587665,-42237952
26,ID6n_estimators150_window_size0.5,150,0.5,1,0.6439418085821459,0.008154049958365066,0.09029977828524867,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split1.pdf,17.100695772096515,-20480
27,ID6n_estimators150_window_size0.5,150,0.5,2,0.5734658971186548,0.01612676749206112,0.12699121029449684,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split2.pdf,16.992710161954165,-12288
28,ID6n_estimators150_window_size0.5,150,0.5,3,0.7370977849328066,0.006685515598176773,0.081765002282008,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split3.pdf,17.00674137659371,-65536
29,ID6n_estimators150_window_size0.5,150,0.5,4,0.613333828404278,0.007653200577232591,0.08748257299161126,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID6n_estimators150_window_size0.5-150-0.5-k_split4.pdf,16.809965301305056,159744
30,ID7n_estimators150_window_size1.0,150,1.0,0,0.678356933000195,0.00865296513243375,0.0930213154735717,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID7n_estimators150_window_size1.0-150-1.0-k_split0.pdf,17.10967125184834,2899968
31,ID7n_estimators150_window_size1.0,150,1.0,1,0.678675023928536,0.007649047940851283,0.08745883569343513,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID7n_estimators150_window_size1.0-150-1.0-k_split1.pdf,17.123841112479568,270336
32,ID7n_estimators150_window_size1.0,150,1.0,2,0.6363618927820834,0.009699225042357961,0.09848464368802864,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID7n_estimators150_window_size1.0-150-1.0-k_split2.pdf,17.12838212773204,-253952
33,ID7n_estimators150_window_size1.0,150,1.0,3,0.6919443004139971,0.007002163491206561,0.08367893098747474,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID7n_estimators150_window_size1.0-150-1.0-k_split3.pdf,16.821467008441687,-286720
34,ID7n_estimators150_window_size1.0,150,1.0,4,0.722877806986627,0.009010075667727189,0.09492141838240298,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID7n_estimators150_window_size1.0-150-1.0-k_split4.pdf,17.05078841932118,-106496
35,ID8n_estimators150_window_size2.0,150,2.0,0,0.6328159599058782,0.008494501741612074,0.09216562125658392,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID8n_estimators150_window_size2.0-150-2.0-k_split0.pdf,17.075748071074486,2605056
36,ID8n_estimators150_window_size2.0,150,2.0,1,0.6763745685049192,0.008629244301128795,0.09289372584372313,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID8n_estimators150_window_size2.0-150-2.0-k_split1.pdf,16.946111004799604,528384
37,ID8n_estimators150_window_size2.0,150,2.0,2,0.7278507056695604,0.0062147268312887916,0.07883353874645481,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID8n_estimators150_window_size2.0-150-2.0-k_split2.pdf,16.990321485325694,303104
38,ID8n_estimators150_window_size2.0,150,2.0,3,0.6036133766621794,0.01107963775061942,0.10525985821109309,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID8n_estimators150_window_size2.0-150-2.0-k_split3.pdf,17.01071717403829,-389120
39,ID8n_estimators150_window_size2.0,150,2.0,4,0.6370629343587719,0.011716680583160685,0.10824361682409123,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID8n_estimators150_window_size2.0-150-2.0-k_split4.pdf,16.966324338689446,8192
40,ID9n_estimators150_window_size5.0,150,5.0,0,0.7238301353999792,0.0076276092312751575,0.08733618511977242,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID9n_estimators150_window_size5.0-150-5.0-k_split0.pdf,17.308400696143508,3264512
41,ID9n_estimators150_window_size5.0,150,5.0,1,0.5940453504308748,0.011852674671800617,0.10886998976669658,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID9n_estimators150_window_size5.0-150-5.0-k_split1.pdf,18.406830474734306,-487424
42,ID9n_estimators150_window_size5.0,150,5.0,2,0.8100016054743355,0.005413409397726736,0.0735758751067681,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID9n_estimators150_window_size5.0-150-5.0-k_split2.pdf,17.54958977177739,258048
43,ID9n_estimators150_window_size5.0,150,5.0,3,0.7497013872824807,0.005989294028535311,0.07739052932068181,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID9n_estimators150_window_size5.0-150-5.0-k_split3.pdf,17.71669476106763,-270336
44,ID9n_estimators150_window_size5.0,150,5.0,4,0.5562606920399542,0.010376318325714942,0.10186421513816783,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID9n_estimators150_window_size5.0-150-5.0-k_split4.pdf,17.37913024611771,-65536
45,ID10n_estimators150_window_size10.0,150,10.0,0,0.6523620908871266,0.007928162926606778,0.08904023206734571,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID10n_estimators150_window_size10.0-150-10.0-k_split0.pdf,18.48148126155138,2695168
46,ID10n_estimators150_window_size10.0,150,10.0,1,0.5964183328777076,0.012000104745243026,0.10954498959442657,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID10n_estimators150_window_size10.0-150-10.0-k_split1.pdf,18.496954193338752,270336
47,ID10n_estimators150_window_size10.0,150,10.0,2,0.6801706557183704,0.009117253419788458,0.09548430980945748,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID10n_estimators150_window_size10.0-150-10.0-k_split2.pdf,18.18361853994429,-802816
48,ID10n_estimators150_window_size10.0,150,10.0,3,0.7169674185218299,0.006674684019267203,0.0816987393982747,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID10n_estimators150_window_size10.0-150-10.0-k_split3.pdf,17.899578779935837,798720
49,ID10n_estimators150_window_size10.0,150,10.0,4,0.7231609514497048,0.007807205293891246,0.0883583911911667,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSForest-IDID10n_estimators150_window_size10.0-150-10.0-k_split4.pdf,18.37374717183411,-393216
