,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_alpha_step1.0,5,1.0,0,0.17418326928290195,0.024057953509245097,0.15510626521596443,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split0.pdf,11.48768175393343,32391168
1,ID1max_alpha5_alpha_step1.0,5,1.0,1,0.12764620037841679,0.021951202891719295,0.14815938340759688,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split1.pdf,11.635584501549602,-29663232
2,ID1max_alpha5_alpha_step1.0,5,1.0,2,0.14171901101556306,0.02764515562227706,0.1662683241699304,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split2.pdf,11.407137064263225,0
3,ID1max_alpha5_alpha_step1.0,5,1.0,3,0.11739172723530988,0.01950044904255903,0.1396440082587113,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split3.pdf,11.37376207113266,0
4,ID1max_alpha5_alpha_step1.0,5,1.0,4,0.1801941286078811,0.019894929153560954,0.14104938551287968,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split4.pdf,11.596007002517581,30969856
5,ID2max_alpha5_alpha_step2.0,5,2.0,0,0.16337915988482354,0.022767001085400543,0.1508873788141359,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split0.pdf,11.33144349232316,-32002048
6,ID2max_alpha5_alpha_step2.0,5,2.0,1,0.134851186720078,0.023057625799757973,0.15184737666406348,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split1.pdf,11.793609254062176,1048576
7,ID2max_alpha5_alpha_step2.0,5,2.0,2,0.13885805359847347,0.02533524924849058,0.15917050370119012,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split2.pdf,11.415603548288345,0
8,ID2max_alpha5_alpha_step2.0,5,2.0,3,0.12089897417689077,0.021681100210906017,0.1472450345882876,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split3.pdf,11.873547466471791,-16384
9,ID2max_alpha5_alpha_step2.0,5,2.0,4,0.19663759427635208,0.019869555188437023,0.14095940971938348,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_11_29_19/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split4.pdf,11.370996829122305,450560
