,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_max_alpha5,100,5,0,0.1925552133148859,0.024076897877869662,0.1551673221972644,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split0.pdf,5.211757319048047,25522176
1,ID1num_kernels100_max_alpha5,100,5,1,0.1230632619523192,0.025167032224479663,0.15864120594750805,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split1.pdf,11.40787323191762,5197824
2,ID1num_kernels100_max_alpha5,100,5,2,0.22141780699165892,0.017668742515189833,0.13292382222607743,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split2.pdf,9.753700509667397,0
3,ID1num_kernels100_max_alpha5,100,5,3,0.2605273155236536,0.015931613297847588,0.12622049476153857,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split3.pdf,4.939979573711753,0
4,ID1num_kernels100_max_alpha5,100,5,4,0.1889264127112914,0.024515599386776943,0.1565745809088338,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split4.pdf,10.25229548662901,0
5,ID2num_kernels100_max_alpha10,100,10,0,0.14736382672293968,0.01751256271387727,0.13233503963001358,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split0.pdf,4.926186153665185,0
6,ID2num_kernels100_max_alpha10,100,10,1,0.23455128741937337,0.02176721394969179,0.14753716124994337,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split1.pdf,8.203973285853863,0
7,ID2num_kernels100_max_alpha10,100,10,2,0.12653533131144756,0.022305714510322035,0.1493509776008247,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split2.pdf,4.7841423060745,0
8,ID2num_kernels100_max_alpha10,100,10,3,0.22235688937821407,0.025000967504599958,0.15811694249700112,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split3.pdf,5.778241578489542,0
9,ID2num_kernels100_max_alpha10,100,10,4,0.1801173096656561,0.021451261315629896,0.14646249115602908,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split4.pdf,5.961763234809041,5136384
10,ID3num_kernels100_max_alpha20,100,20,0,0.14155288185052062,0.02347114698187038,0.1532029600950007,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split0.pdf,6.9459095019847155,0
11,ID3num_kernels100_max_alpha20,100,20,1,0.14517826860091543,0.018247658408574476,0.13508389396436007,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split1.pdf,4.473532384261489,5136384
12,ID3num_kernels100_max_alpha20,100,20,2,0.07992551132900072,0.027159614287131817,0.16480174236679604,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split2.pdf,4.767395632341504,0
13,ID3num_kernels100_max_alpha20,100,20,3,0.2097814242021181,0.020851400828318174,0.14440014137222365,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split3.pdf,9.827468553557992,0
14,ID3num_kernels100_max_alpha20,100,20,4,0.27586375220382664,0.020386975705064644,0.1427829671391677,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split4.pdf,4.848315929993987,0
15,ID4num_kernels500_max_alpha5,500,5,0,0.25402499014800217,0.020257702650569035,0.14232955648975035,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split0.pdf,6.847445283085108,25772032
16,ID4num_kernels500_max_alpha5,500,5,1,0.2812234186415309,0.016961924497436227,0.13023795336781144,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split1.pdf,8.043822648003697,0
17,ID4num_kernels500_max_alpha5,500,5,2,0.21619016252415224,0.02537883490934524,0.1593073598718692,/mnt/soprano-extra/jharbin/predictors/3/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_24_24/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split2.pdf,7.842475593090057,0
