,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_max_alpha5,100,5,0,0.1330897406327447,0.02077509047348196,0.14413566690268567,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split0.pdf,2.1747878420865163,35110912
1,ID1num_kernels100_max_alpha5,100,5,1,0.19415144627633996,0.020479770160799816,0.14310754753261554,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split1.pdf,2.3034650039626285,-483328
2,ID1num_kernels100_max_alpha5,100,5,2,0.16363446506950086,0.024849898658489637,0.1576385062682644,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split2.pdf,2.1915088259847835,270336
3,ID1num_kernels100_max_alpha5,100,5,3,0.08779466084310339,0.025175239108324542,0.1586670700187173,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split3.pdf,2.173072731005959,-593920
4,ID1num_kernels100_max_alpha5,100,5,4,0.20388941432431562,0.02078496921303622,0.1441699317230754,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split4.pdf,2.306738242972642,1638400
5,ID2num_kernels100_max_alpha10,100,10,0,0.1846735097200738,0.0297104195058982,0.17236710679795667,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split0.pdf,2.1705403899541125,9723904
6,ID2num_kernels100_max_alpha10,100,10,1,0.14743112085827503,0.021086449060625328,0.14521173871497212,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split1.pdf,2.3088107029907405,651264
7,ID2num_kernels100_max_alpha10,100,10,2,0.1371126178084947,0.020189472973653474,0.14208966525984032,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split2.pdf,2.1356292410055175,-1433600
8,ID2num_kernels100_max_alpha10,100,10,3,0.2363513188688563,0.020378431844159047,0.1427530449558224,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split3.pdf,2.3053386530373245,782336
9,ID2num_kernels100_max_alpha10,100,10,4,0.16820376620949729,0.018007329412930692,0.1341913909791932,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split4.pdf,2.302932819002308,1765376
10,ID3num_kernels100_max_alpha20,100,20,0,0.20539825722905602,0.024714615432474923,0.157208827463584,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split0.pdf,2.117997762048617,10620928
11,ID3num_kernels100_max_alpha20,100,20,1,0.20605742588414944,0.019253596039161967,0.1387573278755467,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split1.pdf,2.2725612790090963,-1892352
12,ID3num_kernels100_max_alpha20,100,20,2,0.03648324415422044,0.0235272392011634,0.15338591591526063,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split2.pdf,2.1301744090160355,-69632
