,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.702507443487755,0.010450574442310588,0.10222805115187605,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,14.017837301944382,64516096
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.6576998148043827,0.007289338691290416,0.08537762406679174,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,13.36857837100979,72581120
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.5658452320716404,0.010660472402826606,0.10324956369315372,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,13.630271219997667,-16973824
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.6161651423465571,0.010506513838687061,0.10250128700990568,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,13.014943402959034,12836864
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.5972318757820694,0.0098714735874994,0.09935528968051675,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,13.340510403970256,-2478080
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.6979694535732328,0.007404556253819739,0.08604973128267013,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,13.254873167956248,10706944
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.6384971157082894,0.0117696927460403,0.10848821477948792,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,13.66417908098083,12906496
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.7080195236291139,0.006971768493410066,0.08349711667722465,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,13.342881071963347,-13340672
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.6046010220192254,0.01130812430552044,0.10633966477998903,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,13.130025353981182,14389248
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.7481523142210151,0.005814801866429694,0.07625484815032874,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,13.02260169107467,-815104
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.6957422896606925,0.006639279080545621,0.08148177146175468,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,13.346652012085542,8646656
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.7738417822722617,0.004738034494137165,0.06883338212043023,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSForest-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,13.340255335904658,11640832
