,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_alpha_step1.0,5,1.0,0,0.15118398566082714,0.0249228267778889,0.1578696512249549,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split0.pdf,7.1149969410616904,21630976
1,ID1max_alpha5_alpha_step1.0,5,1.0,1,0.1050854549885114,0.023953832963261992,0.15477025865217772,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split1.pdf,7.089953807066195,8105984
2,ID1max_alpha5_alpha_step1.0,5,1.0,2,0.1662562600390447,0.018323627771864196,0.1353647951716553,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split2.pdf,7.011452739941888,217088
3,ID1max_alpha5_alpha_step1.0,5,1.0,3,0.1461804559151868,0.02563453002583252,0.1601078699684451,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split3.pdf,7.126221174024977,3063808
4,ID1max_alpha5_alpha_step1.0,5,1.0,4,0.19408883798774035,0.019963239975710662,0.14129133015054626,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID1max_alpha5_alpha_step1.0-5-1.0-k_split4.pdf,7.1181012419983745,2052096
5,ID2max_alpha5_alpha_step2.0,5,2.0,0,0.15633673020496408,0.024624027834984186,0.15692045065887425,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split0.pdf,6.920488331001252,-19718144
6,ID2max_alpha5_alpha_step2.0,5,2.0,1,0.16658867153003787,0.019929090099977963,0.14117042926894416,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split1.pdf,7.036399023956619,3117056
7,ID2max_alpha5_alpha_step2.0,5,2.0,2,0.14761950636300492,0.020996406302720788,0.14490136749775961,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split2.pdf,7.055824910989031,0
8,ID2max_alpha5_alpha_step2.0,5,2.0,3,0.13490545918500307,0.021727539457544135,0.1474026439978067,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split3.pdf,6.975612842012197,5177344
9,ID2max_alpha5_alpha_step2.0,5,2.0,4,0.14327251833965626,0.025575881503533633,0.15992461193804297,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID2max_alpha5_alpha_step2.0-5-2.0-k_split4.pdf,7.05027122492902,851968
10,ID3max_alpha5_alpha_step3.0,5,3.0,0,0.11603136596622265,0.02419379555585975,0.15554354874394422,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID3max_alpha5_alpha_step3.0-5-3.0-k_split0.pdf,7.104921176913194,5029888
11,ID3max_alpha5_alpha_step3.0,5,3.0,1,0.20559702375455757,0.019989305239398354,0.1413835394923976,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID3max_alpha5_alpha_step3.0-5-3.0-k_split1.pdf,7.043327735038474,1449984
12,ID3max_alpha5_alpha_step3.0,5,3.0,2,0.18013294133256208,0.021680308608994416,0.14724234652094625,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID3max_alpha5_alpha_step3.0-5-3.0-k_split2.pdf,7.14623050391674,602112
13,ID3max_alpha5_alpha_step3.0,5,3.0,3,0.08644621748574788,0.02484555124827802,0.15762471648912812,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID3max_alpha5_alpha_step3.0-5-3.0-k_split3.pdf,7.043823643005453,-921600
14,ID3max_alpha5_alpha_step3.0,5,3.0,4,0.16945476170031737,0.022243719908544842,0.1491432865017559,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID3max_alpha5_alpha_step3.0-5-3.0-k_split4.pdf,7.136947334976867,417792
15,ID4max_alpha10_alpha_step1.0,10,1.0,0,0.09408196266706037,0.02272726506119589,0.15075564686337917,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID4max_alpha10_alpha_step1.0-10-1.0-k_split0.pdf,7.178558476967737,12054528
16,ID4max_alpha10_alpha_step1.0,10,1.0,1,0.159180488013147,0.020492083029717268,0.14315056070346796,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID4max_alpha10_alpha_step1.0-10-1.0-k_split1.pdf,7.064802860026248,2195456
17,ID4max_alpha10_alpha_step1.0,10,1.0,2,0.19635273381736684,0.022915463777832757,0.15137854464167885,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID4max_alpha10_alpha_step1.0-10-1.0-k_split2.pdf,7.18548969400581,-815104
18,ID4max_alpha10_alpha_step1.0,10,1.0,3,0.15189876655397616,0.025422488440946495,0.1594443114098038,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID4max_alpha10_alpha_step1.0-10-1.0-k_split3.pdf,7.187366397003643,958464
19,ID4max_alpha10_alpha_step1.0,10,1.0,4,0.15470238517116852,0.02119795609706491,0.14559517882493536,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID4max_alpha10_alpha_step1.0-10-1.0-k_split4.pdf,7.093980133999139,1294336
20,ID5max_alpha10_alpha_step2.0,10,2.0,0,0.13812929783510497,0.020883524906493284,0.1445113314120844,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID5max_alpha10_alpha_step2.0-10-2.0-k_split0.pdf,7.218930791015737,39940096
21,ID5max_alpha10_alpha_step2.0,10,2.0,1,0.1835383008027388,0.022207777109272627,0.14902274024212755,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID5max_alpha10_alpha_step2.0-10-2.0-k_split1.pdf,7.243923841044307,-21790720
22,ID5max_alpha10_alpha_step2.0,10,2.0,2,0.16850619688340707,0.018715119847790625,0.13680321578015125,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID5max_alpha10_alpha_step2.0-10-2.0-k_split2.pdf,7.086315084015951,23838720
23,ID5max_alpha10_alpha_step2.0,10,2.0,3,0.09732574823453555,0.02530102916658915,0.15906297233042374,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID5max_alpha10_alpha_step2.0-10-2.0-k_split3.pdf,7.239069061935879,2625536
24,ID5max_alpha10_alpha_step2.0,10,2.0,4,0.15409799695141668,0.02611226789484663,0.1615929079348677,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID5max_alpha10_alpha_step2.0-10-2.0-k_split4.pdf,7.061459128977731,-204800
25,ID6max_alpha10_alpha_step3.0,10,3.0,0,0.11229681009467918,0.03071802300054356,0.17526557848175311,/home/jharbin/academic/soprano/SBTPredictors/results/Mycobot-Fourjoints_2025_07_15_15_01_54/regression-Mycobot-Fourjoints_TSFreshWin_Ridge-IDID6max_alpha10_alpha_step3.0-10-3.0-k_split0.pdf,7.185570153989829,9089024
