,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1num_kernels100_max_alpha5,100,5,0,0.1853127361593705,0.8321680803279129,0.9122324705511818,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split0.pdf,3.892527889998746,22085632
1,ID1num_kernels100_max_alpha5,100,5,1,0.19833040137334845,0.8433191442313392,0.9183240954212948,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split1.pdf,3.8560419990026276,49152
2,ID1num_kernels100_max_alpha5,100,5,2,0.1966851680780658,0.835090567491327,0.9138328991075595,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split2.pdf,3.828785452999,77824
3,ID1num_kernels100_max_alpha5,100,5,3,0.18327365582131705,0.83685760510549,0.9147992157328787,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split3.pdf,3.972820597999089,-937984
4,ID1num_kernels100_max_alpha5,100,5,4,0.16372617286798763,0.9523759262508019,0.9758974978197259,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID1num_kernels100_max_alpha5-100-5-k_split4.pdf,3.8296561859970097,-1024000
5,ID2num_kernels100_max_alpha10,100,10,0,0.1615004230372029,0.9142543910997051,0.9561665080412015,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split0.pdf,3.8644537509971997,10874880
6,ID2num_kernels100_max_alpha10,100,10,1,0.15426341950945788,0.8799092053523808,0.9380347570065732,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split1.pdf,4.07448325400037,0
7,ID2num_kernels100_max_alpha10,100,10,2,0.24745985141513005,0.7991805046026991,0.8939689617669615,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split2.pdf,3.962739475995477,32768
8,ID2num_kernels100_max_alpha10,100,10,3,0.18844091767042703,0.85521611047471,0.9247789522230218,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split3.pdf,3.836804148995725,-1032192
9,ID2num_kernels100_max_alpha10,100,10,4,0.21798827906165574,0.8033100344857278,0.8962756464870212,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID2num_kernels100_max_alpha10-100-10-k_split4.pdf,3.8002334689954296,16384
10,ID3num_kernels100_max_alpha20,100,20,0,0.2086830443403347,0.8359670226376615,0.9143123222606494,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split0.pdf,3.9569551899985527,10579968
11,ID3num_kernels100_max_alpha20,100,20,1,0.20965693265867702,0.829584241044177,0.9108151519623381,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split1.pdf,3.8169041459987056,0
12,ID3num_kernels100_max_alpha20,100,20,2,0.18772355197928814,0.8575866256942166,0.9260597311697646,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split2.pdf,3.822018315004243,0
13,ID3num_kernels100_max_alpha20,100,20,3,0.18172557201362116,0.8662845130763619,0.9307440642176354,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split3.pdf,3.9752967710010125,0
14,ID3num_kernels100_max_alpha20,100,20,4,0.18539027374220118,0.8614601541402095,0.9281487780201025,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID3num_kernels100_max_alpha20-100-20-k_split4.pdf,3.814968858001521,-1662976
15,ID4num_kernels500_max_alpha5,500,5,0,0.6223049997922687,0.3942028141986412,0.6278557272165647,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split0.pdf,4.959311238002556,14733312
16,ID4num_kernels500_max_alpha5,500,5,1,0.5675439783040231,0.4443843789748653,0.6666216160423133,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split1.pdf,5.07665398500103,770048
17,ID4num_kernels500_max_alpha5,500,5,2,0.6331249223636046,0.39619901886411396,0.6294434199069159,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split2.pdf,4.9205474160044105,401408
18,ID4num_kernels500_max_alpha5,500,5,3,0.5322606684993855,0.5008824362367554,0.7077304827663956,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split3.pdf,4.934797474998049,-1589248
19,ID4num_kernels500_max_alpha5,500,5,4,0.5090937245925065,0.5175699277097012,0.7194233299731815,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID4num_kernels500_max_alpha5-500-5-k_split4.pdf,5.036610211995139,-1437696
20,ID5num_kernels500_max_alpha10,500,10,0,0.5915781427639426,0.4267685438566709,0.6532752435663477,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB1_2025_07_15_03_08_02/regression-Multiturtlebot-TB1_MiniRocket_Ridge-IDID5num_kernels500_max_alpha10-500-10-k_split0.pdf,5.122557982998842,10850304
