,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1n_estimators300_window_size0.5,300,0.5,0,0.7647391514795849,0.37777913379067374,0.614637400253738,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split0.pdf,30.64125291399978,451878912
1,ID1n_estimators300_window_size0.5,300,0.5,1,0.7982134200256162,0.32571953383347074,0.5707184365634869,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split1.pdf,30.369562036998104,62181376
2,ID1n_estimators300_window_size0.5,300,0.5,2,0.7417642599327596,0.38600907422347286,0.6212962853771724,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split2.pdf,30.006524825002998,99205120
3,ID1n_estimators300_window_size0.5,300,0.5,3,0.7894572342423941,0.3548390409699681,0.5956836752589146,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split3.pdf,30.156450684000447,-77033472
4,ID1n_estimators300_window_size0.5,300,0.5,4,0.7838457175559955,0.34249148897967435,0.5852277240354171,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID1n_estimators300_window_size0.5-300-0.5-k_split4.pdf,30.26182079299906,46305280
5,ID2n_estimators300_window_size1.0,300,1.0,0,0.7615024746337768,0.35515585152955326,0.5959495377375111,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split0.pdf,23.088533633002953,18452480
6,ID2n_estimators300_window_size1.0,300,1.0,1,0.7836810941080007,0.3548327335078084,0.5956783809303544,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split1.pdf,23.1724356190025,23764992
7,ID2n_estimators300_window_size1.0,300,1.0,2,0.7346621077567803,0.41947435414764006,0.6476683982931698,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split2.pdf,22.88605175200064,16801792
8,ID2n_estimators300_window_size1.0,300,1.0,3,0.7809210514814955,0.34033032634853216,0.5833783732266153,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split3.pdf,22.916416856001888,12275712
9,ID2n_estimators300_window_size1.0,300,1.0,4,0.7747910937718611,0.3848157103020858,0.6203351596533004,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID2n_estimators300_window_size1.0-300-1.0-k_split4.pdf,23.143721540000115,6348800
10,ID3n_estimators300_window_size2.0,300,2.0,0,0.7179344800799035,0.44299297939383936,0.6655771776389567,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split0.pdf,19.761858330995892,23937024
11,ID3n_estimators300_window_size2.0,300,2.0,1,0.7275747608503214,0.4513622826217884,0.6718350114587572,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split1.pdf,19.58790492099797,1695744
12,ID3n_estimators300_window_size2.0,300,2.0,2,0.7563734663894393,0.3706876741667958,0.6088412553094573,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2TSFreshWin_GradBoost-IDID3n_estimators300_window_size2.0-300-2.0-k_split2.pdf,19.50938120900537,-22073344
