,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_window_size0.5,5,0.5,0,0.6030393830595164,0.6433338203108057,0.8020809312724032,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split0.pdf,27.703662191001058,176594944
1,ID1max_alpha5_window_size0.5,5,0.5,1,0.5814527650962107,0.6955601648843224,0.8340024969293092,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split1.pdf,27.71284501899936,11210752
2,ID1max_alpha5_window_size0.5,5,0.5,2,0.5971984875923937,0.6333685505317931,0.7958445517384617,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split2.pdf,27.812704383999517,-4902912
3,ID1max_alpha5_window_size0.5,5,0.5,3,0.5521152621042238,0.6974178986120916,0.8351155001627569,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split3.pdf,27.996751450999,22491136
4,ID1max_alpha5_window_size0.5,5,0.5,4,0.5934933341477773,0.6407781769496228,0.8004862128416846,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split4.pdf,27.81162175499776,26468352
5,ID2max_alpha5_window_size1.0,5,1.0,0,0.5498059337949773,0.722303644457303,0.8498844888908745,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split0.pdf,22.05680155599839,163569664
6,ID2max_alpha5_window_size1.0,5,1.0,1,0.6008807141155548,0.6282745295132948,0.7926377038176362,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split1.pdf,22.060870014000102,6365184
7,ID2max_alpha5_window_size1.0,5,1.0,2,0.5991009600042443,0.640032679666424,0.800020424530789,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split2.pdf,22.292471714994463,8097792
8,ID2max_alpha5_window_size1.0,5,1.0,3,0.6046609468319399,0.6436893243602375,0.8023025142427497,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split3.pdf,21.928068353001436,172961792
9,ID2max_alpha5_window_size1.0,5,1.0,4,0.5745443223474458,0.6712058219918899,0.8192715190899107,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split4.pdf,22.217667006996635,15917056
10,ID3max_alpha5_window_size2.0,5,2.0,0,0.5589058992901208,0.7102988932287506,0.8427923191562383,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_08_42/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID3max_alpha5_window_size2.0-5-2.0-k_split0.pdf,19.1449769450046,9355264
