,id,param1,param2,k_split,r2_score,mse,rmse,filename_graph,time_diff,memory_used
0,ID1max_alpha5_window_size0.5,5,0.5,0,0.5808057711620039,0.6747362097087287,0.8214232829112702,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split0.pdf,27.972928293049335,-2514944
1,ID1max_alpha5_window_size0.5,5,0.5,1,0.5587839056661297,0.6941084984437534,0.8331317413493219,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split1.pdf,27.915487405960448,96428032
2,ID1max_alpha5_window_size0.5,5,0.5,2,0.6066472922184118,0.626232705134704,0.7913486621803969,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split2.pdf,27.563756652059965,32944128
3,ID1max_alpha5_window_size0.5,5,0.5,3,0.6201933688142056,0.6186844934431566,0.7865649963246245,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split3.pdf,27.68409695790615,-16048128
4,ID1max_alpha5_window_size0.5,5,0.5,4,0.5848138082147302,0.6585275975097536,0.8114971333958941,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID1max_alpha5_window_size0.5-5-0.5-k_split4.pdf,27.61439928296022,25120768
5,ID2max_alpha5_window_size1.0,5,1.0,0,0.5894382131937715,0.655994543116715,0.8099349005424541,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split0.pdf,22.007562677026726,16887808
6,ID2max_alpha5_window_size1.0,5,1.0,1,0.6003620734200313,0.6637207250406585,0.8146905701189001,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split1.pdf,21.88440754194744,1146880
7,ID2max_alpha5_window_size1.0,5,1.0,2,0.5925024403143411,0.630409540749497,0.7939833378286328,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split2.pdf,21.87540383497253,-16523264
8,ID2max_alpha5_window_size1.0,5,1.0,3,0.6072848812636407,0.6416537676715545,0.8010329379442237,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split3.pdf,21.98110045492649,8232960
9,ID2max_alpha5_window_size1.0,5,1.0,4,0.5676929976919258,0.6706453876663574,0.8189294155581159,/home/jharbin/academic/soprano/SBTPredictors/results/Multiturtlebot-TB2_2025_07_15_08_36_22/regression-Multiturtlebot-TB2_TSFreshWin_Ridge-IDID2max_alpha5_window_size1.0-5-1.0-k_split4.pdf,22.091411154018715,-10121216
