testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_001_04_07_2025_14_40_23,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_002_04_07_2025_14_40_23,9.311496566235094,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_04_07_2025_14_40_23,9.311255112837314,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_004_04_07_2025_14_40_23,9.311460967585711,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_04_07_2025_14_40_23,9.910991139954382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_04_07_2025_14_40_23,2.144684853144234,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_04_07_2025_14_40_23,7.424001425202617,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_04_07_2025_14_40_23,9.311459048698321,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_04_07_2025_14_40_23,9.911081256723305,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_04_07_2025_14_40_23,9.311002253070939,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_04_07_2025_14_40_23,9.311062181314998,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_04_07_2025_14_40_23,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_04_07_2025_14_40_23,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_04_07_2025_14_40_23,9.910989642041482,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_04_07_2025_14_40_23,9.311219365166888,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_04_07_2025_14_40_23,0.49483319544069865,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_019_04_07_2025_14_40_23,4.266730959483039,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_04_07_2025_14_40_23,9.911040995888959,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_04_07_2025_14_40_23,8.711771553562173,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_022_04_07_2025_14_40_23,2.1486600729501584,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_023_04_07_2025_14_40_23,9.9111659040574,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_024_04_07_2025_14_40_23,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_025_04_07_2025_14_40_23,2.132639759507515,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_026_04_07_2025_14_40_23,8.711313557780105,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_027_04_07_2025_14_40_23,8.711383356846598,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_028_04_07_2025_14_40_23,9.311002253070939,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_029_04_07_2025_14_40_23,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_030_04_07_2025_14_40_23,9.311302404206971,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_031_04_07_2025_14_40_23,0.8589172170122064,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_033_04_07_2025_15_47_25,10.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_034_04_07_2025_15_47_25,9.310999870216556,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_035_04_07_2025_15_47_25,8.111734889474796,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_037_04_07_2025_15_47_25,9.311125298578874,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_038_04_07_2025_15_47_25,8.111735359440015,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_040_04_07_2025_15_47_25,8.111797238033121,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_041_04_07_2025_15_47_25,8.111669154361687,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_042_04_07_2025_15_47_25,2.453303631105545,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_043_04_07_2025_15_47_25,9.910726691511254,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_045_04_07_2025_15_47_25,8.11178488737827,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_046_04_07_2025_15_47_25,9.911006151863319,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_047_04_07_2025_15_47_25,2.137952064159606,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_048_04_07_2025_15_47_25,9.910726484344696,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_049_04_07_2025_15_47_25,5.401324866870937,0.0,0.0,0.0,0.0,0.0,0.0
