testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_001_04_07_2025_14_40_23,1.96217517921743,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_002_04_07_2025_14_40_23,2.1477381788396035,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_04_07_2025_14_40_23,0.4146908799576749,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_004_04_07_2025_14_40_23,0.3461483318155223,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_04_07_2025_14_40_23,2.1751914831644745,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_04_07_2025_14_40_23,2.4370261386786125,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_04_07_2025_14_40_23,1.9932957017673596,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_04_07_2025_14_40_23,2.2590516166667545,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_04_07_2025_14_40_23,3.60405152302138,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_04_07_2025_14_40_23,2.111462918888384,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_04_07_2025_14_40_23,3.5102632726729452,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_04_07_2025_14_40_23,2.1188708084112258,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_04_07_2025_14_40_23,3.079932666187477,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_04_07_2025_14_40_23,3.5198574354309318,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_04_07_2025_14_40_23,3.5873781791468864,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_04_07_2025_14_40_23,4.0,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_019_04_07_2025_14_40_23,0.4696533483214933,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_04_07_2025_14_40_23,2.3404270775413774,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_04_07_2025_14_40_23,2.1142047218125644,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_022_04_07_2025_14_40_23,2.3238505939681677,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_023_04_07_2025_14_40_23,3.587214281423625,0.0,0.0,0.0,0.0,0.0,0.0
