testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_001_26_05_2025_16_13_15,7.449756872263783,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_002_26_05_2025_16_13_15,6.238127195726746,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_26_05_2025_16_13_15,7.384922427210265,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_004_26_05_2025_16_13_15,7.067861453914608,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_26_05_2025_16_13_15,6.980126805726178,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_26_05_2025_16_13_15,7.892262972710916,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_26_05_2025_16_13_15,8.711709298658388,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_26_05_2025_16_13_15,6.738381061663677,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_26_05_2025_16_13_15,7.449357441468379,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_26_05_2025_16_13_15,7.873721282414451,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_011_26_05_2025_16_13_15,6.697697723359708,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_26_05_2025_16_13_15,6.267267805800525,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_26_05_2025_16_13_15,6.303086645870949,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_26_05_2025_16_13_15,7.299710538534146,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_26_05_2025_16_13_15,3.744993223601072,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_016_26_05_2025_16_13_15,7.919302110821881,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_26_05_2025_16_13_15,2.2122602703310674,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_019_26_05_2025_16_13_15,4.361813438256763,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_26_05_2025_16_13_15,7.129318428327065,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_26_05_2025_16_13_15,8.711798709396582,0.0,0.0,0.0,0.0,0.0,0.0
