testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_001_29_06_2025_05_34_14,2.0785766931082756,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_002_29_06_2025_05_34_14,0.887828935059912,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_29_06_2025_05_34_14,3.6042323552543722,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_004_29_06_2025_05_34_14,2.117479128061049,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_29_06_2025_05_34_14,0.9995303791154172,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_29_06_2025_05_34_14,2.680802482696322,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_29_06_2025_05_34_14,8.711543198953564,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_29_06_2025_05_34_14,4.842699317592357,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_29_06_2025_05_34_14,8.317804673542476,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_29_06_2025_05_34_14,2.1505833783743764,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_011_29_06_2025_05_34_14,0.3232731851557679,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_29_06_2025_05_34_14,7.299552943474496,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_29_06_2025_05_34_14,0.16096022996750722,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_29_06_2025_05_34_14,8.711554825791744,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_29_06_2025_05_34_14,0.8698593979645155,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_016_29_06_2025_05_34_14,8.711311699196854,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_29_06_2025_05_34_14,9.311219846292506,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_29_06_2025_05_34_14,5.990133894028306,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_019_29_06_2025_05_34_14,8.711557703421304,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_29_06_2025_05_34_14,4.297683921423663,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_29_06_2025_05_34_14,7.512093227351326,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_022_29_06_2025_05_34_14,8.111954597049497,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_023_29_06_2025_05_34_14,8.7113122054421,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_024_29_06_2025_05_34_14,9.31135443950691,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_025_29_06_2025_05_34_14,7.512172845153132,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_026_29_06_2025_05_34_14,8.711335256762409,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_027_29_06_2025_05_34_14,7.512224915300015,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_028_29_06_2025_05_34_14,9.311002140965611,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_029_29_06_2025_05_34_14,10.124367621163401,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_030_29_06_2025_05_34_14,4.296208295697142,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_031_29_06_2025_05_34_14,8.111668757582091,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_032_29_06_2025_05_34_14,9.31110582101597,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_033_29_06_2025_06_41_26,9.311230279855016,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_034_29_06_2025_06_41_26,9.311439276081183,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_035_29_06_2025_06_41_26,8.711723122688447,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_036_29_06_2025_06_41_26,7.512148482693615,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_037_29_06_2025_06_41_26,7.853932802023494,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_038_29_06_2025_06_41_26,8.711733820344213,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_039_29_06_2025_06_41_26,7.512133364202798,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_040_29_06_2025_06_41_26,9.91104763623536,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_041_29_06_2025_06_41_26,2.0727530637256915,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_042_29_06_2025_06_41_26,8.711311841719494,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_043_29_06_2025_06_41_26,9.910959496774067,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_044_29_06_2025_06_41_26,8.71154935148913,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_045_29_06_2025_06_41_26,0.4567852866666931,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_046_29_06_2025_06_41_26,8.711365585470576,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_047_29_06_2025_06_41_26,8.711505395851104,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_048_29_06_2025_06_41_26,8.711545308596994,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_049_29_06_2025_06_41_26,0.8801236273166825,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_050_29_06_2025_06_41_26,0.4872973712751042,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_051_29_06_2025_06_41_26,1.581970114010633,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_052_29_06_2025_06_41_26,8.711313714062891,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_053_29_06_2025_06_41_26,9.910934546156161,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_054_29_06_2025_06_41_26,8.711809296972957,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_055_29_06_2025_06_41_26,9.911084869851772,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_056_29_06_2025_06_41_26,1.121387621717584,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_057_29_06_2025_06_41_26,8.437237574368,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_058_29_06_2025_06_41_26,10.510962778762256,0.0,0.0,0.0,0.0,0.0,0.0
