testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_002_29_06_2025_05_34_14,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_29_06_2025_05_34_14,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_29_06_2025_05_34_14,0.9986206896346191,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_29_06_2025_05_34_14,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_29_06_2025_05_34_14,0.7972413819411706,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_011_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_29_06_2025_05_34_14,0.7103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_29_06_2025_05_34_14,0.8220689576247643,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_29_06_2025_05_34_14,0.849655164521316,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_016_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_29_06_2025_05_34_14,0.7103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_29_06_2025_05_34_14,0.8206896551724138,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_019_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_29_06_2025_05_34_14,0.9986206896346191,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_022_29_06_2025_05_34_14,0.8206896551724138,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_023_29_06_2025_05_34_14,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_025_29_06_2025_05_34_14,0.7103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_026_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_027_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_029_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_030_29_06_2025_05_34_14,0.7103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_032_29_06_2025_05_34_14,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_033_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_034_29_06_2025_06_41_26,0.8220689576247643,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_035_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_036_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_037_29_06_2025_06_41_26,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_038_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_039_29_06_2025_06_41_26,0.9986206896346191,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_040_29_06_2025_06_41_26,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_041_29_06_2025_06_41_26,0.8220689576247643,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_042_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_043_29_06_2025_06_41_26,0.7103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_044_29_06_2025_06_41_26,0.8220689576247643,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_045_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_046_29_06_2025_06_41_26,0.7089655119797279,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_047_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_048_29_06_2025_06_41_26,0.8206896551724138,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_049_29_06_2025_06_41_26,0.9972413792692382,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_050_29_06_2025_06_41_26,0.7393103500892376,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_051_29_06_2025_06_41_26,0.32831741859172947,0.0,0.0,0.0,0.0,0.0,0.0
