testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_002_29_06_2025_05_34_14,2.142052980164381,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_29_06_2025_05_34_14,2.3313800945617493,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_29_06_2025_05_34_14,1.9676190217826481,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_29_06_2025_05_34_14,2.145116802184933,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_29_06_2025_05_34_14,2.8403486138421545,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_29_06_2025_05_34_14,2.6302439824710917,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_29_06_2025_05_34_14,0.24907032971974905,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_29_06_2025_05_34_14,1.0803876531327168,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_011_29_06_2025_05_34_14,3.1438234364303894,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_29_06_2025_05_34_14,3.2963564837524353,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_29_06_2025_05_34_14,2.5413756665812124,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_29_06_2025_05_34_14,2.104708923098169,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_29_06_2025_05_34_14,0.5562638640880196,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_016_29_06_2025_05_34_14,3.6835142434307158,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_29_06_2025_05_34_14,2.122046847113341,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_29_06_2025_05_34_14,2.237508461750913,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_019_29_06_2025_05_34_14,2.1274039293021962,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_29_06_2025_05_34_14,0.677870843788169,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_29_06_2025_05_34_14,2.4576775166904503,0.0,0.0,0.0,0.0,0.0,0.0
