testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_001_26_04_2025_06_19_30,0.4337532655338715,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_002_26_04_2025_06_19_30,0.9038092404054825,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_26_04_2025_06_19_30,0.3387709232524574,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_004_26_04_2025_06_19_30,0.2021347783648914,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_26_04_2025_06_19_30,0.2464503094897326,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_26_04_2025_06_19_30,0.24230723918013153,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_26_04_2025_06_19_30,0.12490238278347711,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_26_04_2025_06_19_30,0.23368481360601714,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_009_26_04_2025_06_19_30,0.30559952237608956,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_011_26_04_2025_06_19_30,0.11615144802997754,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_26_04_2025_06_19_30,0.1786219301418155,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_26_04_2025_06_19_30,0.33163911274881686,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_26_04_2025_06_19_30,0.10739929460307393,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_016_26_04_2025_06_19_30,0.1012952174689232,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_26_04_2025_06_37_22,0.2720692052730456,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_26_04_2025_06_37_22,0.14247893808368095,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_26_04_2025_06_37_22,0.26536665890782757,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_022_26_04_2025_06_37_22,0.27320691451671164,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_023_26_04_2025_06_37_22,0.10173334866071808,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_024_26_04_2025_06_37_22,0.11262727892843126,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_025_26_04_2025_06_37_22,0.2634889374282466,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_026_26_04_2025_06_37_22,0.3175542039729185,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_027_26_04_2025_06_37_22,0.21939778306485302,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_028_26_04_2025_06_37_22,0.1157807057570205,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_029_26_04_2025_06_37_22,0.5184829170939448,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_030_26_04_2025_06_37_22,0.29452600138761925,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_031_26_04_2025_06_37_22,0.10246046566719282,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_032_26_04_2025_06_37_22,0.21581085542878986,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_033_26_04_2025_06_55_53,0.8318327023636295,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_034_26_04_2025_06_55_53,0.19877045411484423,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_035_26_04_2025_06_55_53,0.4359885470971061,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_037_26_04_2025_06_55_53,0.04990840030802374,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_038_26_04_2025_06_55_53,0.494608640002638,0.0,0.0,0.0,0.0,0.0,0.0
