testID,metricValue,rv_start,rv_end,rv_intensity,vel_start,vel_end,vel_intensity
MODELFILE01_Test_001_26_05_2025_23_54_01,3.7678950533439113,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_002_26_05_2025_23_54_01,0.08206668466858424,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_003_26_05_2025_23_54_01,0.6014032042736714,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_004_26_05_2025_23_54_01,2.4736462884704866,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_005_26_05_2025_23_54_01,3.049345836507907,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_006_26_05_2025_23_54_01,0.12877962809270949,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_007_26_05_2025_23_54_01,0.8876385862158671,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_008_26_05_2025_23_54_01,1.1018177610803532,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_010_26_05_2025_23_54_01,1.2467619481692533,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_011_26_05_2025_23_54_01,2.670353543469779,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_012_26_05_2025_23_54_01,1.3156188260509982,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_013_26_05_2025_23_54_01,1.160865147734018,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_014_26_05_2025_23_54_01,2.394617460631963,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_015_26_05_2025_23_54_01,1.6644680183015008,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_016_26_05_2025_23_54_01,2.8198557269330307,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_017_26_05_2025_23_54_01,3.800939935879455,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_018_26_05_2025_23_54_01,2.9650014947051684,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_020_26_05_2025_23_54_01,2.8982243641455887,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_021_26_05_2025_23_54_01,2.3931873644134734,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_022_26_05_2025_23_54_01,0.025400480131234058,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_023_26_05_2025_23_54_01,1.7670773866363287,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_024_26_05_2025_23_54_01,1.3097680101587004,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_025_26_05_2025_23_54_01,3.634487475563003,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_026_26_05_2025_23_54_01,1.925529113072547,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_027_26_05_2025_23_54_01,3.662983258357071,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_028_26_05_2025_23_54_01,3.7116945281942137,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_029_26_05_2025_23_54_01,0.68137347886094,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_030_26_05_2025_23_54_01,0.11276032538206276,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_031_26_05_2025_23_54_01,3.8083650239234674,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_032_26_05_2025_23_54_01,0.6197635020153314,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_033_27_05_2025_00_45_23,2.40272772077827,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_034_27_05_2025_00_45_23,0.02383681564827428,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_035_27_05_2025_00_45_23,3.81023594323882,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_036_27_05_2025_00_45_23,2.978927372233035,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_037_27_05_2025_00_45_23,2.1775886159775966,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_038_27_05_2025_00_45_23,1.471412420324056,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_039_27_05_2025_00_45_23,0.3631805726423668,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_040_27_05_2025_00_45_23,0.5761045731854466,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_041_27_05_2025_00_45_23,0.7116286179095724,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_042_27_05_2025_00_45_23,3.2294794090929035,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_043_27_05_2025_00_45_23,2.861723762539777,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_044_27_05_2025_00_45_23,1.5096539547898113,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_045_27_05_2025_00_45_23,2.632724075279906,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_046_27_05_2025_00_45_23,0.8753833004880786,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_047_27_05_2025_00_45_23,0.03189727274290355,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_048_27_05_2025_00_45_23,2.233997266609619,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_049_27_05_2025_00_45_23,2.6900298172414177,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_050_27_05_2025_00_45_23,3.767841696880505,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_051_27_05_2025_00_45_23,2.313472609068306,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_052_27_05_2025_00_45_23,2.4686319502525635,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_053_27_05_2025_00_45_23,0.6450613435649996,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_054_27_05_2025_00_45_23,0.5232050222013883,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_055_27_05_2025_00_45_23,0.46260727872046936,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_056_27_05_2025_00_45_23,2.398738722096586,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_058_27_05_2025_00_45_23,2.3995122214352587,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_059_27_05_2025_00_45_23,0.060836166431529365,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_060_27_05_2025_00_45_23,0.5224167898866823,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_061_27_05_2025_00_45_23,0.05244883640059943,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_062_27_05_2025_00_45_23,1.65801171596098,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_063_27_05_2025_00_45_23,0.025904202154037517,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_064_27_05_2025_00_45_23,1.568079712718499,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_065_27_05_2025_01_37_56,0.1495122510215186,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_066_27_05_2025_01_37_56,2.5391951509341886,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_067_27_05_2025_01_37_56,0.025273815760942116,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_068_27_05_2025_01_37_56,3.8093674832055506,0.0,0.0,0.0,0.0,0.0,0.0
MODELFILE01_Test_069_27_05_2025_01_37_56,0.8703042983841176,0.0,0.0,0.0,0.0,0.0,0.0
