,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
0,SimAnnealingSingle(10),26,16,292,8.442531130479045,0.0,7.316382539375933,0.8317937737222422,11,"{'hypervolume': np.float64(7.316382539375933), 'igd': np.float64(0.8317937737222422)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.11538461538461539
1,SimAnnealingSingle(30),26,40,292,8.442531130479045,0.0,7.750740166923797,0.5534647200954363,13,"{'hypervolume': np.float64(7.750740166923797), 'igd': np.float64(0.5534647200954363)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.2692307692307692
2,SimAnnealingSingle(50),26,54,292,8.442531130479045,0.0,7.739471402984938,0.53398624081958,13,"{'hypervolume': np.float64(7.739471402984938), 'igd': np.float64(0.53398624081958)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.2692307692307692
3,SimAnnealingSingle(70),26,62,292,8.442531130479045,0.0,7.561479937081267,0.4675627979162475,12,"{'hypervolume': np.float64(7.561479937081267), 'igd': np.float64(0.4675627979162475)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.3076923076923077
4,SimAnnealingSingle(90),26,92,292,8.442531130479045,0.0,7.852179141983765,0.4122644130101003,20,"{'hypervolume': np.float64(7.852179141983765), 'igd': np.float64(0.4122644130101003)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.46153846153846156
5,SimAnnealingSingle(110),26,113,292,8.442531130479045,0.0,7.815678891730805,0.19966912423439706,23,"{'hypervolume': np.float64(7.815678891730805), 'igd': np.float64(0.19966912423439706)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.5384615384615384
6,SimAnnealingSingle(130),26,118,292,8.442531130479045,0.0,8.367115599980703,0.09952062570060313,21,"{'hypervolume': np.float64(8.367115599980703), 'igd': np.float64(0.09952062570060313)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6923076923076923
7,SimAnnealingSingle(150),26,143,292,8.442531130479045,0.0,8.264251971798636,0.2992681814104814,20,"{'hypervolume': np.float64(8.264251971798636), 'igd': np.float64(0.2992681814104814)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.5
8,SimAnnealingSingle(170),26,141,292,8.442531130479045,0.0,8.3645724124432,0.21347539338664576,21,"{'hypervolume': np.float64(8.3645724124432), 'igd': np.float64(0.21347539338664576)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6153846153846154
9,SimAnnealingSingle(190),26,139,292,8.442531130479045,0.0,7.973450880679915,0.09770971237174228,24,"{'hypervolume': np.float64(7.973450880679915), 'igd': np.float64(0.09770971237174228)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6538461538461539
10,SimAnnealingSingle(210),26,153,292,8.442531130479045,0.0,8.382315112469833,0.3300237959406535,23,"{'hypervolume': np.float64(8.382315112469833), 'igd': np.float64(0.3300237959406535)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6538461538461539
11,SimAnnealingSingle(230),26,167,292,8.442531130479045,0.0,8.035494502132893,0.16225340622903042,23,"{'hypervolume': np.float64(8.035494502132893), 'igd': np.float64(0.16225340622903042)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6153846153846154
12,SimAnnealingSingle(250),26,181,292,8.442531130479045,0.0,8.441745168015823,0.03885703631380445,25,"{'hypervolume': np.float64(8.441745168015823), 'igd': np.float64(0.03885703631380445)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7307692307692307
13,SimAnnealingSingle(270),26,162,292,8.442531130479045,0.0,8.033882295410502,0.0438145189746624,27,"{'hypervolume': np.float64(8.033882295410502), 'igd': np.float64(0.0438145189746624)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7307692307692307
14,SimAnnealingSingle(290),26,176,292,8.442531130479045,0.0,7.897581934034459,0.13605012149509574,22,"{'hypervolume': np.float64(7.897581934034459), 'igd': np.float64(0.13605012149509574)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.6538461538461539
15,SimAnnealingSingle(310),26,184,292,8.442531130479045,0.0,8.396758113012144,0.12117751347780145,22,"{'hypervolume': np.float64(8.396758113012144), 'igd': np.float64(0.12117751347780145)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7692307692307693
16,SimAnnealingSingle(330),26,194,292,8.442531130479045,0.0,8.42162022397226,0.10251161488765378,25,"{'hypervolume': np.float64(8.42162022397226), 'igd': np.float64(0.10251161488765378)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7307692307692307
17,SimAnnealingSingle(350),26,193,292,8.442531130479045,0.0,8.39674431438159,0.0871793255768252,25,"{'hypervolume': np.float64(8.39674431438159), 'igd': np.float64(0.0871793255768252)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.8461538461538461
18,SimAnnealingSingle(370),26,202,292,8.442531130479045,0.0,8.442529650543877,5.989380250808107e-05,26,"{'hypervolume': np.float64(8.442529650543877), 'igd': np.float64(5.989380250808107e-05)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.9615384615384616
19,SimAnnealingSingle(390),26,209,292,8.442531130479045,0.0,8.327478196348592,0.10939982172548895,24,"{'hypervolume': np.float64(8.327478196348592), 'igd': np.float64(0.10939982172548895)}","{'hypervolume': np.float64(8.442531130479045), 'igd': np.float64(0.0)}",0.7692307692307693
