,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
0,SimAnnealingSingle(10),7,13,518,12.406107835597329,0.0,12.036423821680325,0.3518626769240389,2,"{'hypervolume': np.float64(12.036423821680325), 'igd': np.float64(0.3518626769240389)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.2857142857142857
1,SimAnnealingSingle(50),7,33,518,12.406107835597329,0.0,12.036423821680325,0.3518626769240389,2,"{'hypervolume': np.float64(12.036423821680325), 'igd': np.float64(0.3518626769240389)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.2857142857142857
2,SimAnnealingSingle(90),7,52,518,12.406107835597329,0.0,12.119131106240797,0.3518626769240389,3,"{'hypervolume': np.float64(12.119131106240797), 'igd': np.float64(0.3518626769240389)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.2857142857142857
3,SimAnnealingSingle(130),7,71,518,12.406107835597329,0.0,12.119131106240797,0.3518626769240389,3,"{'hypervolume': np.float64(12.119131106240797), 'igd': np.float64(0.3518626769240389)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.2857142857142857
4,SimAnnealingSingle(170),7,87,518,12.406107835597329,0.0,12.1836746376831,0.23216285714662402,5,"{'hypervolume': np.float64(12.1836746376831), 'igd': np.float64(0.23216285714662402)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
5,SimAnnealingSingle(210),7,95,518,12.406107835597329,0.0,12.205912072253117,0.10672618071705772,5,"{'hypervolume': np.float64(12.205912072253117), 'igd': np.float64(0.10672618071705772)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
6,SimAnnealingSingle(250),7,117,518,12.406107835597329,0.0,12.340541275710455,0.12676417353539862,4,"{'hypervolume': np.float64(12.340541275710455), 'igd': np.float64(0.12676417353539862)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
7,SimAnnealingSingle(290),7,112,518,12.406107835597329,0.0,12.150414631004585,0.22158445153684023,4,"{'hypervolume': np.float64(12.150414631004585), 'igd': np.float64(0.22158445153684023)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.42857142857142855
8,SimAnnealingSingle(330),7,130,518,12.406107835597329,0.0,12.341555443768314,0.12676417353539862,5,"{'hypervolume': np.float64(12.341555443768314), 'igd': np.float64(0.12676417353539862)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
9,SimAnnealingSingle(370),7,144,518,12.406107835597329,0.0,12.205912072253117,0.10672618071705772,5,"{'hypervolume': np.float64(12.205912072253117), 'igd': np.float64(0.10672618071705772)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
10,SimAnnealingSingle(410),7,153,518,12.406107835597329,0.0,12.40508480715276,0.007064353757983753,6,"{'hypervolume': np.float64(12.40508480715276), 'igd': np.float64(0.007064353757983753)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
11,SimAnnealingSingle(450),7,163,518,12.406107835597329,0.0,12.15102140349523,0.10188463175942535,5,"{'hypervolume': np.float64(12.15102140349523), 'igd': np.float64(0.10188463175942535)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
12,SimAnnealingSingle(490),7,183,518,12.406107835597329,0.0,12.406092101698734,0.004841548957632362,6,"{'hypervolume': np.float64(12.406092101698734), 'igd': np.float64(0.004841548957632362)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
13,SimAnnealingSingle(530),7,186,518,12.406107835597329,0.0,12.340541275710455,0.12676417353539862,4,"{'hypervolume': np.float64(12.340541275710455), 'igd': np.float64(0.12676417353539862)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
14,SimAnnealingSingle(570),7,181,518,12.406107835597329,0.0,12.405069073254165,0.011905902715616114,5,"{'hypervolume': np.float64(12.405069073254165), 'igd': np.float64(0.011905902715616114)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
15,SimAnnealingSingle(610),7,198,518,12.406107835597329,0.0,12.406107835597329,0.0,7,"{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",1.0
16,SimAnnealingSingle(650),7,213,518,12.406107835597329,0.0,12.406107835597329,0.0,7,"{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",1.0
17,SimAnnealingSingle(690),7,217,518,12.406107835597329,0.0,12.211089420937103,0.10188463175942535,7,"{'hypervolume': np.float64(12.211089420937103), 'igd': np.float64(0.10188463175942535)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
18,SimAnnealingSingle(730),7,223,518,12.406107835597329,0.0,12.396054450857582,0.007064353757983753,6,"{'hypervolume': np.float64(12.396054450857582), 'igd': np.float64(0.007064353757983753)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
19,SimAnnealingSingle(770),7,212,518,12.406107835597329,0.0,12.34055700960905,0.12192262457776626,5,"{'hypervolume': np.float64(12.34055700960905), 'igd': np.float64(0.12192262457776626)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
20,SimAnnealingSingle(810),7,233,518,12.406107835597329,0.0,12.40508480715276,0.007064353757983753,6,"{'hypervolume': np.float64(12.40508480715276), 'igd': np.float64(0.007064353757983753)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
21,SimAnnealingSingle(850),7,252,518,12.406107835597329,0.0,12.396038716958987,0.011905902715616114,5,"{'hypervolume': np.float64(12.396038716958987), 'igd': np.float64(0.011905902715616114)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
22,SimAnnealingSingle(890),7,235,518,12.406107835597329,0.0,12.406092101698734,0.004841548957632362,6,"{'hypervolume': np.float64(12.406092101698734), 'igd': np.float64(0.004841548957632362)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.8571428571428571
23,SimAnnealingSingle(930),7,255,518,12.406107835597329,0.0,12.396038716958987,0.011905902715616114,5,"{'hypervolume': np.float64(12.396038716958987), 'igd': np.float64(0.011905902715616114)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.7142857142857143
24,SimAnnealingSingle(970),7,259,518,12.406107835597329,0.0,12.328971770563317,0.18715599334135027,4,"{'hypervolume': np.float64(12.328971770563317), 'igd': np.float64(0.18715599334135027)}","{'hypervolume': np.float64(12.406107835597329), 'igd': np.float64(0.0)}",0.5714285714285714
