,decision_node,front_all_tests_size,tests_chosen_count,all_tests_count,all_tests_hypervolume,all_tests_igd,decision_node_hypervolume,decision_node_igd,front_from_decision_node_size,quality_indicators_for_front,quality_indicators_all_tests,proportion_of_ref_tests_included
0,"IndicatorBased(hypervolume, 1.0)",18,192,476,6.681596709036519,0.0,6.639322386106405,0.13456520257142848,16,"{'hypervolume': np.float64(6.639322386106405), 'igd': np.float64(0.13456520257142848)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8888888888888888
1,"IndicatorBased(hypervolume, 0.0)",18,50,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
2,"IndicatorBased(hypervolume, 0.05263157894736842)",18,55,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
3,"IndicatorBased(hypervolume, 0.10526315789473684)",18,59,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
4,"IndicatorBased(hypervolume, 0.15789473684210525)",18,75,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
5,"IndicatorBased(hypervolume, 0.21052631578947367)",18,71,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
6,"IndicatorBased(hypervolume, 0.2631578947368421)",18,89,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
7,"IndicatorBased(hypervolume, 0.3157894736842105)",18,96,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
8,"IndicatorBased(hypervolume, 0.3684210526315789)",18,94,476,6.681596709036519,0.0,6.636765907402955,0.1512824662449457,15,"{'hypervolume': np.float64(6.636765907402955), 'igd': np.float64(0.1512824662449457)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8333333333333334
9,"IndicatorBased(hypervolume, 0.42105263157894735)",18,108,476,6.681596709036519,0.0,6.639322386106405,0.13456520257142848,16,"{'hypervolume': np.float64(6.639322386106405), 'igd': np.float64(0.13456520257142848)}","{'hypervolume': np.float64(6.681596709036519), 'igd': np.float64(0.0)}",0.8888888888888888
