,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
10,ID11num_kernels2000_n_estimators25,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_25,2000,25.0,0.7284165166729069,0.579660563484266,0.7577933918392864,0.04488148265428099,0.1116136802327947,0.07355092636381798,0.0,9.989644424803554
24,ID25n_estimators25_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_0.5,25,0.5,0.723747399144346,0.5856610699320492,0.7648356678488802,0.026136236779708274,0.04094673439702386,0.026219670444280523,0.0,4.484727039199788
18,ID19n_estimators50_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=50_window_size_0.5,50,0.5,0.7233005179213627,0.5817773602182337,0.7605943350789007,0.04561793546709795,0.08332029876721642,0.0572155369119134,0.0,4.509408412798075
9,ID10num_kernels2000_n_estimators50,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_50,2000,50.0,0.7167225000664798,0.6040277978289791,0.7758865590261367,0.022453888533826443,0.06952213803729979,0.04503160391947469,0.0,17.760212425200734
25,ID26n_estimators25_window_size1.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=25_window_size_1.0,25,1.0,0.7141988266423003,0.6039213541879052,0.7764197890608383,0.019104450402023455,0.05158943040591197,0.03307061146439009,0.0,3.8059312212018996
12,ID13n_estimators100_window_size0.5,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=100_window_size_0.5,100,0.5,0.7121048652166625,0.612654126612951,0.7802463046451015,0.04883024679220623,0.09987162330077148,0.062207963321543436,0.0,4.5886013584007745
5,ID6num_kernels2000_max_alpha20,ETERRY-HumanDist_MiniRocket_Ridge_num_kernels=2000_max_alpha_20,2000,20.0,0.7103794262816305,0.6170216678776586,0.7832786581525252,0.04113059861428589,0.0890502475456206,0.05912877100395383,0.0,2.454947130999062
19,ID20n_estimators50_window_size1.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=50_window_size_1.0,50,1.0,0.7100874958619153,0.6082554979733665,0.7786857176347345,0.04020584487634065,0.06867936306369722,0.04363543428275889,0.0,3.795153843399021
8,ID9num_kernels2000_n_estimators100,ETERRY-HumanDist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_100,2000,100.0,0.6983080819210079,0.6450230346802888,0.7992415787188784,0.04276495174405199,0.12391274923603186,0.07896792720619973,0.0,33.32720578720618
13,ID14n_estimators100_window_size1.0,ETERRY-HumanDistTSFreshWin_GradBoost_n_estimators=100_window_size_1.0,100,1.0,0.6963125880926938,0.642458230590636,0.8013136206957305,0.02264603052270899,0.030039379445441085,0.018833796168982418,0.0,3.886755730997538
