,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
27,ID28n_estimators25_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_5.0,25,5.0,0.7278228499612869,0.007134656904580571,0.08333830782367518,0.07472735128417395,0.002236594769968381,0.013761662460143782,0.0,5.427936316799969
4,ID5n_estimators300_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_10.0,300,10.0,0.7244732448449547,0.007260302199155026,0.08442055841541948,0.046317884224357,0.0020932222280488507,0.011552987318601838,0.0,15.231172227599927
26,ID27n_estimators25_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_2.0,25,2.0,0.7153235040236472,0.007539915414294443,0.08558266188764815,0.06975686344087297,0.002268113487558647,0.014680715190989107,0.0,5.464956793599958
6,ID7n_estimators200_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_0.5,200,0.5,0.7090912354215966,0.007577757793390663,0.0865028431664937,0.06438255666447029,0.0017490439684976732,0.009747610861316574,0.0,11.363867767800183
11,ID12n_estimators200_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_20.0,200,20.0,0.7088108585596192,0.007603545914380579,0.08672798047678389,0.05120741004102149,0.001614236841992625,0.009044518605164965,0.0,11.41340881619999
34,ID35n_estimators5_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_10.0,5,10.0,0.7084045665521568,0.007757163626377022,0.08614754301823879,0.1026835302941823,0.003187569499102945,0.01832387672676601,0.0,4.6349295824004
5,ID6n_estimators300_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_20.0,300,20.0,0.7068629796201937,0.007610329337089864,0.08688880570062192,0.048973585987639796,0.0013410985345866531,0.007788759914738362,0.0,15.309197364400097
13,ID14n_estimators100_window_size1.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_1.0,100,1.0,0.70660767065443,0.0075499611149210015,0.08659967406332826,0.06542599337856424,0.0012562083611877088,0.007103349002147634,0.0,7.914835416400092
1,ID2n_estimators200_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_0.3,200,0.3,0.7055786349794075,0.007760371338298028,0.08665973532141479,0.09985797236545747,0.002894279270898538,0.0158259790319703,0.0,11.387653015200021
28,ID29n_estimators25_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_10.0,25,10.0,0.7028424182085315,0.007816620405408871,0.08776530779047013,0.054916650642373735,0.0018883554880535565,0.010671042772518145,0.0,5.4692744381998635
10,ID11n_estimators200_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=200_window_size_10.0,200,10.0,0.7025281227720873,0.007759052923078301,0.08719694511849445,0.07577435823482485,0.0021774326128336467,0.012479811099554662,0.0,11.543048095400081
14,ID15n_estimators100_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_2.0,100,2.0,0.6980089121795906,0.007849684395239514,0.08806162174054281,0.053241758884491425,0.0017834673382433651,0.009738335158797644,0.0,7.935230823000166
0,ID1n_estimators300_window_size0.5,Mycobot-Fourjoints_TSForest_n_estimators=300_window_size_0.5,300,0.5,0.6978608330344422,0.007812669117777008,0.0877519728994543,0.07903019410580127,0.0019015896603590458,0.010595299430900866,0.0,15.573425258399947
